Category: All categories

Week,How to invest: (Canada)
2017-11-26,42
2017-12-03,60
2017-12-10,58
2017-12-17,52
2017-12-24,38
2017-12-31,59
2018-01-07,47
2018-01-14,45
2018-01-21,38
2018-01-28,31
2018-02-04,36
2018-02-11,22
2018-02-18,31
2018-02-25,29
2018-03-04,27
2018-03-11,23
2018-03-18,20
2018-03-25,23
2018-04-01,22
2018-04-08,21
2018-04-15,22
2018-04-22,11
2018-04-29,22
2018-05-06,18
2018-05-13,12
2018-05-20,18
2018-05-27,22
2018-06-03,22
2018-06-10,19
2018-06-17,20
2018-06-24,21
2018-07-01,19
2018-07-08,25
2018-07-15,25
2018-07-22,30
2018-07-29,26
2018-08-05,22
2018-08-12,17
2018-08-19,23
2018-08-26,17
2018-09-02,21
2018-09-09,33
2018-09-16,31
2018-09-23,29
2018-09-30,29
2018-10-07,29
2018-10-14,29
2018-10-21,27
2018-10-28,32
2018-11-04,22
2018-11-11,18
2018-11-18,16
2018-11-25,18
2018-12-02,18
2018-12-09,16
2018-12-16,20
2018-12-23,20
2018-12-30,26
2019-01-06,18
2019-01-13,29
2019-01-20,21
2019-01-27,30
2019-02-03,25
2019-02-10,29
2019-02-17,23
2019-02-24,19
2019-03-03,20
2019-03-10,25
2019-03-17,15
2019-03-24,19
2019-03-31,20
2019-04-07,21
2019-04-14,27
2019-04-21,21
2019-04-28,27
2019-05-05,21
2019-05-12,20
2019-05-19,20
2019-05-26,24
2019-06-02,17
2019-06-09,15
2019-06-16,23
2019-06-23,19
2019-06-30,19
2019-07-07,26
2019-07-14,22
2019-07-21,27
2019-07-28,28
2019-08-04,19
2019-08-11,25
2019-08-18,24
2019-08-25,21
2019-09-01,24
2019-09-08,34
2019-09-15,23
2019-09-22,20
2019-09-29,21
2019-10-06,20
2019-10-13,25
2019-10-20,18
2019-10-27,22
2019-11-03,25
2019-11-10,23
2019-11-17,20
2019-11-24,22
2019-12-01,22
2019-12-08,23
2019-12-15,21
2019-12-22,19
2019-12-29,30
2020-01-05,27
2020-01-12,32
2020-01-19,28
2020-01-26,33
2020-02-02,25
2020-02-09,25
2020-02-16,25
2020-02-23,25
2020-03-01,35
2020-03-08,49
2020-03-15,59
2020-03-22,42
2020-03-29,40
2020-04-05,35
2020-04-12,39
2020-04-19,41
2020-04-26,33
2020-05-03,36
2020-05-10,36
2020-05-17,35
2020-05-24,34
2020-05-31,40
2020-06-07,39
2020-06-14,23
2020-06-21,28
2020-06-28,30
2020-07-05,34
2020-07-12,36
2020-07-19,38
2020-07-26,39
2020-08-02,37
2020-08-09,34
2020-08-16,34
2020-08-23,37
2020-08-30,32
2020-09-06,37
2020-09-13,31
2020-09-20,26
2020-09-27,34
2020-10-04,30
2020-10-11,26
2020-10-18,34
2020-10-25,34
2020-11-01,36
2020-11-08,37
2020-11-15,33
2020-11-22,39
2020-11-29,39
2020-12-06,47
2020-12-13,42
2020-12-20,37
2020-12-27,64
2021-01-03,68
2021-01-10,59
2021-01-17,50
2021-01-24,100
2021-01-31,72
2021-02-07,71
2021-02-14,69
2021-02-21,63
2021-02-28,46
2021-03-07,49
2021-03-14,43
2021-03-21,32
2021-03-28,43
2021-04-04,37
2021-04-11,41
2021-04-18,47
2021-04-25,42
2021-05-02,57
2021-05-09,60
2021-05-16,42
2021-05-23,33
2021-05-30,30
2021-06-06,31
2021-06-13,31
2021-06-20,30
2021-06-27,27
2021-07-04,27
2021-07-11,25
2021-07-18,22
2021-07-25,22
2021-08-01,33
2021-08-08,29
2021-08-15,26
2021-08-22,37
2021-08-29,31
2021-09-05,32
2021-09-12,29
2021-09-19,33
2021-09-26,27
2021-10-03,31
2021-10-10,38
2021-10-17,40
2021-10-24,48
2021-10-31,42
2021-11-07,49
2021-11-14,49
2021-11-21,45
2021-11-28,48
2021-12-05,43
2021-12-12,46
2021-12-19,28
2021-12-26,42
2022-01-02,63
2022-01-09,40
2022-01-16,60
2022-01-23,51
2022-01-30,59
2022-02-06,46
2022-02-13,39
2022-02-20,46
2022-02-27,43
2022-03-06,41
2022-03-13,32
2022-03-20,42
2022-03-27,39
2022-04-03,31
2022-04-10,38
2022-04-17,39
2022-04-24,34
2022-05-01,36
2022-05-08,28
2022-05-15,29
2022-05-22,29
2022-05-29,27
2022-06-05,30
2022-06-12,22
2022-06-19,35
2022-06-26,31
2022-07-03,26
2022-07-10,32
2022-07-17,28
2022-07-24,43
2022-07-31,30
2022-08-07,30
2022-08-14,35
2022-08-21,28
2022-08-28,31
2022-09-04,34
2022-09-11,34
2022-09-18,26
2022-09-25,31
2022-10-02,38
2022-10-09,33
2022-10-16,28
2022-10-23,31
2022-10-30,30
2022-11-06,40
2022-11-13,29
2022-11-20,31
