Category: All categories

Week,Inflation: (Canada)
2017-11-26,20
2017-12-03,21
2017-12-10,19
2017-12-17,17
2017-12-24,12
2017-12-31,18
2018-01-07,20
2018-01-14,21
2018-01-21,22
2018-01-28,23
2018-02-04,25
2018-02-11,22
2018-02-18,17
2018-02-25,20
2018-03-04,18
2018-03-11,18
2018-03-18,21
2018-03-25,22
2018-04-01,20
2018-04-08,20
2018-04-15,19
2018-04-22,17
2018-04-29,16
2018-05-06,18
2018-05-13,15
2018-05-20,16
2018-05-27,19
2018-06-03,17
2018-06-10,18
2018-06-17,14
2018-06-24,13
2018-07-01,14
2018-07-08,16
2018-07-15,15
2018-07-22,16
2018-07-29,17
2018-08-05,15
2018-08-12,21
2018-08-19,19
2018-08-26,18
2018-09-02,16
2018-09-09,19
2018-09-16,21
2018-09-23,22
2018-09-30,20
2018-10-07,21
2018-10-14,21
2018-10-21,20
2018-10-28,23
2018-11-04,19
2018-11-11,17
2018-11-18,21
2018-11-25,23
2018-12-02,20
2018-12-09,22
2018-12-16,18
2018-12-23,15
2018-12-30,13
2019-01-06,17
2019-01-13,23
2019-01-20,19
2019-01-27,21
2019-02-03,20
2019-02-10,18
2019-02-17,17
2019-02-24,19
2019-03-03,16
2019-03-10,18
2019-03-17,18
2019-03-24,21
2019-03-31,22
2019-04-07,21
2019-04-14,17
2019-04-21,18
2019-04-28,18
2019-05-05,20
2019-05-12,16
2019-05-19,15
2019-05-26,17
2019-06-02,17
2019-06-09,14
2019-06-16,16
2019-06-23,15
2019-06-30,15
2019-07-07,17
2019-07-14,17
2019-07-21,15
2019-07-28,16
2019-08-04,14
2019-08-11,14
2019-08-18,13
2019-08-25,13
2019-09-01,14
2019-09-08,17
2019-09-15,18
2019-09-22,18
2019-09-29,15
2019-10-06,18
2019-10-13,19
2019-10-20,18
2019-10-27,18
2019-11-03,18
2019-11-10,18
2019-11-17,20
2019-11-24,18
2019-12-01,18
2019-12-08,22
2019-12-15,19
2019-12-22,12
2019-12-29,16
2020-01-05,18
2020-01-12,19
2020-01-19,21
2020-01-26,20
2020-02-02,23
2020-02-09,20
2020-02-16,19
2020-02-23,21
2020-03-01,20
2020-03-08,17
2020-03-15,16
2020-03-22,19
2020-03-29,19
2020-04-05,22
2020-04-12,21
2020-04-19,22
2020-04-26,18
2020-05-03,17
2020-05-10,18
2020-05-17,18
2020-05-24,17
2020-05-31,15
2020-06-07,15
2020-06-14,16
2020-06-21,14
2020-06-28,17
2020-07-05,16
2020-07-12,18
2020-07-19,17
2020-07-26,18
2020-08-02,17
2020-08-09,18
2020-08-16,18
2020-08-23,18
2020-08-30,17
2020-09-06,14
2020-09-13,18
2020-09-20,19
2020-09-27,19
2020-10-04,19
2020-10-11,19
2020-10-18,19
2020-10-25,20
2020-11-01,18
2020-11-08,18
2020-11-15,19
2020-11-22,18
2020-11-29,21
2020-12-06,23
2020-12-13,24
2020-12-20,19
2020-12-27,19
2021-01-03,19
2021-01-10,20
2021-01-17,22
2021-01-24,21
2021-01-31,22
2021-02-07,25
2021-02-14,24
2021-02-21,31
2021-02-28,28
2021-03-07,32
2021-03-14,32
2021-03-21,28
2021-03-28,26
2021-04-04,27
2021-04-11,25
2021-04-18,26
2021-04-25,27
2021-05-02,29
2021-05-09,45
2021-05-16,33
2021-05-23,28
2021-05-30,25
2021-06-06,31
2021-06-13,34
2021-06-20,24
2021-06-27,18
2021-07-04,20
2021-07-11,30
2021-07-18,22
2021-07-25,23
2021-08-01,21
2021-08-08,23
2021-08-15,26
2021-08-22,23
2021-08-29,20
2021-09-05,21
2021-09-12,37
2021-09-19,26
2021-09-26,28
2021-10-03,29
2021-10-10,38
2021-10-17,54
2021-10-24,43
2021-10-31,39
2021-11-07,49
2021-11-14,48
2021-11-21,39
2021-11-28,39
2021-12-05,48
2021-12-12,48
2021-12-19,31
2021-12-26,26
2022-01-02,34
2022-01-09,48
2022-01-16,62
2022-01-23,57
2022-01-30,43
2022-02-06,57
2022-02-13,68
2022-02-20,53
2022-02-27,55
2022-03-06,67
2022-03-13,64
2022-03-20,64
2022-03-27,56
2022-04-03,51
2022-04-10,66
2022-04-17,77
2022-04-24,49
2022-05-01,54
2022-05-08,69
2022-05-15,68
2022-05-22,46
2022-05-29,63
2022-06-05,86
2022-06-12,97
2022-06-19,100
2022-06-26,50
2022-07-03,52
2022-07-10,91
2022-07-17,80
2022-07-24,55
2022-07-31,49
2022-08-07,75
2022-08-14,64
2022-08-21,53
2022-08-28,48
2022-09-04,53
2022-09-11,79
2022-09-18,71
2022-09-25,62
2022-10-02,60
2022-10-09,78
2022-10-16,76
2022-10-23,66
2022-10-30,64
2022-11-06,82
2022-11-13,66
2022-11-20,62
