Category: All categories

Week,recession: (Canada)
2017-10-15,4
2017-10-22,5
2017-10-29,4
2017-11-05,4
2017-11-12,4
2017-11-19,4
2017-11-26,4
2017-12-03,4
2017-12-10,3
2017-12-17,3
2017-12-24,2
2017-12-31,3
2018-01-07,5
2018-01-14,6
2018-01-21,4
2018-01-28,6
2018-02-04,8
2018-02-11,6
2018-02-18,4
2018-02-25,5
2018-03-04,5
2018-03-11,4
2018-03-18,4
2018-03-25,6
2018-04-01,6
2018-04-08,6
2018-04-15,5
2018-04-22,6
2018-04-29,6
2018-05-06,3
2018-05-13,4
2018-05-20,5
2018-05-27,8
2018-06-03,7
2018-06-10,8
2018-06-17,10
2018-06-24,9
2018-07-01,7
2018-07-08,5
2018-07-15,5
2018-07-22,5
2018-07-29,5
2018-08-05,4
2018-08-12,5
2018-08-19,5
2018-08-26,5
2018-09-02,6
2018-09-09,5
2018-09-16,7
2018-09-23,9
2018-09-30,6
2018-10-07,8
2018-10-14,8
2018-10-21,8
2018-10-28,7
2018-11-04,6
2018-11-11,8
2018-11-18,7
2018-11-25,8
2018-12-02,12
2018-12-09,11
2018-12-16,18
2018-12-23,10
2018-12-30,9
2019-01-06,7
2019-01-13,8
2019-01-20,13
2019-01-27,8
2019-02-03,7
2019-02-10,7
2019-02-17,7
2019-02-24,8
2019-03-03,9
2019-03-10,8
2019-03-17,13
2019-03-24,13
2019-03-31,12
2019-04-07,10
2019-04-14,7
2019-04-21,6
2019-04-28,9
2019-05-05,5
2019-05-12,7
2019-05-19,5
2019-05-26,9
2019-06-02,8
2019-06-09,8
2019-06-16,10
2019-06-23,6
2019-06-30,7
2019-07-07,9
2019-07-14,8
2019-07-21,6
2019-07-28,10
2019-08-04,13
2019-08-11,49
2019-08-18,31
2019-08-25,25
2019-09-01,15
2019-09-08,13
2019-09-15,14
2019-09-22,14
2019-09-29,14
2019-10-06,16
2019-10-13,15
2019-10-20,14
2019-10-27,14
2019-11-03,16
2019-11-10,11
2019-11-17,12
2019-11-24,12
2019-12-01,12
2019-12-08,12
2019-12-15,10
2019-12-22,7
2019-12-29,7
2020-01-05,9
2020-01-12,8
2020-01-19,8
2020-01-26,10
2020-02-02,11
2020-02-09,7
2020-02-16,8
2020-02-23,22
2020-03-01,19
2020-03-08,83
2020-03-15,100
2020-03-22,50
2020-03-29,36
2020-04-05,28
2020-04-12,26
2020-04-19,20
2020-04-26,24
2020-05-03,19
2020-05-10,15
2020-05-17,15
2020-05-24,11
2020-05-31,9
2020-06-07,11
2020-06-14,8
2020-06-21,8
2020-06-28,6
2020-07-05,7
2020-07-12,6
2020-07-19,7
2020-07-26,13
2020-08-02,7
2020-08-09,12
2020-08-16,7
2020-08-23,6
2020-08-30,7
2020-09-06,4
2020-09-13,7
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,8
2020-10-18,6
2020-10-25,6
2020-11-01,5
2020-11-08,6
2020-11-15,7
2020-11-22,8
2020-11-29,5
2020-12-06,6
2020-12-13,5
2020-12-20,3
2020-12-27,4
2021-01-03,6
2021-01-10,6
2021-01-17,4
2021-01-24,6
2021-01-31,5
2021-02-07,5
2021-02-14,4
2021-02-21,6
2021-02-28,4
2021-03-07,5
2021-03-14,5
2021-03-21,4
2021-03-28,4
2021-04-04,5
2021-04-11,5
2021-04-18,5
2021-04-25,3
2021-05-02,3
2021-05-09,4
2021-05-16,5
2021-05-23,4
2021-05-30,4
2021-06-06,3
2021-06-13,3
2021-06-20,2
2021-06-27,3
2021-07-04,3
2021-07-11,4
2021-07-18,2
2021-07-25,3
2021-08-01,2
2021-08-08,3
2021-08-15,2
2021-08-22,2
2021-08-29,1
2021-09-05,3
2021-09-12,3
2021-09-19,5
2021-09-26,6
2021-10-03,5
2021-10-10,6
2021-10-17,7
2021-10-24,4
2021-10-31,4
2021-11-07,6
2021-11-14,5
2021-11-21,4
2021-11-28,5
2021-12-05,5
2021-12-12,5
2021-12-19,3
2021-12-26,2
2022-01-02,4
2022-01-09,6
2022-01-16,6
2022-01-23,9
2022-01-30,6
2022-02-06,6
2022-02-13,7
2022-02-20,10
2022-02-27,10
2022-03-06,17
2022-03-13,17
2022-03-20,13
2022-03-27,13
2022-04-03,17
2022-04-10,16
2022-04-17,18
2022-04-24,23
2022-05-01,21
2022-05-08,30
2022-05-15,41
2022-05-22,22
2022-05-29,20
2022-06-05,41
2022-06-12,94
2022-06-19,58
2022-06-26,33
2022-07-03,73
2022-07-10,50
2022-07-17,32
2022-07-24,52
2022-07-31,34
2022-08-07,22
2022-08-14,23
2022-08-21,16
2022-08-28,18
2022-09-04,16
2022-09-11,24
2022-09-18,33
2022-09-25,39
2022-10-02,36
