Week,Twitter: (Worldwide)
2013-02-17,92
2013-02-24,85
2013-03-03,90
2013-03-10,89
2013-03-17,88
2013-03-24,92
2013-03-31,90
2013-04-07,93
2013-04-14,96
2013-04-21,100
2013-04-28,88
2013-05-05,91
2013-05-12,90
2013-05-19,91
2013-05-26,95
2013-06-02,93
2013-06-09,96
2013-06-16,96
2013-06-23,91
2013-06-30,90
2013-07-07,94
2013-07-14,98
2013-07-21,95
2013-07-28,92
2013-08-04,87
2013-08-11,89
2013-08-18,88
2013-08-25,91
2013-09-01,84
2013-09-08,83
2013-09-15,81
2013-09-22,81
2013-09-29,81
2013-10-06,78
2013-10-13,79
2013-10-20,77
2013-10-27,78
2013-11-03,78
2013-11-10,79
2013-11-17,73
2013-11-24,74
2013-12-01,78
2013-12-08,74
2013-12-15,73
2013-12-22,81
2013-12-29,80
2014-01-05,75
2014-01-12,74
2014-01-19,74
2014-01-26,76
2014-02-02,75
2014-02-09,75
2014-02-16,75
2014-02-23,75
2014-03-02,74
2014-03-09,76
2014-03-16,80
2014-03-23,73
2014-03-30,70
2014-04-06,73
2014-04-13,73
2014-04-20,72
2014-04-27,73
2014-05-04,70
2014-05-11,69
2014-05-18,73
2014-05-25,73
2014-06-01,71
2014-06-08,73
2014-06-15,70
2014-06-22,70
2014-06-29,69
2014-07-06,73
2014-07-13,73
2014-07-20,69
2014-07-27,67
2014-08-03,69
2014-08-10,70
2014-08-17,68
2014-08-24,69
2014-08-31,64
2014-09-07,62
2014-09-14,64
2014-09-21,66
2014-09-28,63
2014-10-05,62
2014-10-12,60
2014-10-19,61
2014-10-26,59
2014-11-02,57
2014-11-09,60
2014-11-16,60
2014-11-23,58
2014-11-30,56
2014-12-07,55
2014-12-14,58
2014-12-21,59
2014-12-28,64
2015-01-04,61
2015-01-11,57
2015-01-18,53
2015-01-25,61
2015-02-01,60
2015-02-08,54
2015-02-15,62
2015-02-22,56
2015-03-01,58
2015-03-08,55
2015-03-15,57
2015-03-22,56
2015-03-29,55
2015-04-05,55
2015-04-12,56
2015-04-19,53
2015-04-26,52
2015-05-03,53
2015-05-10,53
2015-05-17,50
2015-05-24,49
2015-05-31,53
2015-06-07,54
2015-06-14,52
2015-06-21,53
2015-06-28,52
2015-07-05,53
2015-07-12,53
2015-07-19,54
2015-07-26,56
2015-08-02,54
2015-08-09,55
