Week,Starlink: (Worldwide)
2013-02-17,38
2013-02-24,39
2013-03-03,37
2013-03-10,35
2013-03-17,37
2013-03-24,31
2013-03-31,40
2013-04-07,29
2013-04-14,25
2013-04-21,32
2013-04-28,38
2013-05-05,39
2013-05-12,28
2013-05-19,30
2013-05-26,24
2013-06-02,28
2013-06-09,22
2013-06-16,15
2013-06-23,23
2013-06-30,24
2013-07-07,21
2013-07-14,37
2013-07-21,32
2013-07-28,28
2013-08-04,32
2013-08-11,29
2013-08-18,29
2013-08-25,25
2013-09-01,26
2013-09-08,23
2013-09-15,31
2013-09-22,33
2013-09-29,28
2013-10-06,33
2013-10-13,23
2013-10-20,14
2013-10-27,29
2013-11-03,30
2013-11-10,23
2013-11-17,26
2013-11-24,26
2013-12-01,31
2013-12-08,16
2013-12-15,24
2013-12-22,19
2013-12-29,24
2014-01-05,22
2014-01-12,17
2014-01-19,24
2014-01-26,21
2014-02-02,28
2014-02-09,17
2014-02-16,24
2014-02-23,28
2014-03-02,29
2014-03-09,25
2014-03-16,19
2014-03-23,27
2014-03-30,27
2014-04-06,23
2014-04-13,27
2014-04-20,25
2014-04-27,17
2014-05-04,21
2014-05-11,24
2014-05-18,27
2014-05-25,24
2014-06-01,27
2014-06-08,28
2014-06-15,34
2014-06-22,32
2014-06-29,28
2014-07-06,30
2014-07-13,33
2014-07-20,21
2014-07-27,27
2014-08-03,30
2014-08-10,32
2014-08-17,31
2014-08-24,28
2014-08-31,22
2014-09-07,25
2014-09-14,32
2014-09-21,33
2014-09-28,29
2014-10-05,34
2014-10-12,38
2014-10-19,31
2014-10-26,30
2014-11-02,25
2014-11-09,31
2014-11-16,26
2014-11-23,28
2014-11-30,31
2014-12-07,33
2014-12-14,25
2014-12-21,29
2014-12-28,35
2015-01-04,28
2015-01-11,34
2015-01-18,27
2015-01-25,25
2015-02-01,30
2015-02-08,30
2015-02-15,33
2015-02-22,38
2015-03-01,33
2015-03-08,32
2015-03-15,28
2015-03-22,33
2015-03-29,25
2015-04-05,28
2015-04-12,26
2015-04-19,31
2015-04-26,30
2015-05-03,29
2015-05-10,36
2015-05-17,30
2015-05-24,25
2015-05-31,30
2015-06-07,29
2015-06-14,27
2015-06-21,33
2015-06-28,33
2015-07-05,35
2015-07-12,27
2015-07-19,31
2015-07-26,35
2015-08-02,41
2015-08-09,36
2015-08-16,33
2015-08-23,43
2015-08-30,44
2015-09-06,33
2015-09-13,30
2015-09-20,34
2015-09-27,35
2015-10-04,44
2015-10-11,37
2015-10-18,39
2015-10-25,44
2015-11-01,34
2015-11-08,33
2015-11-15,26
2015-11-22,34
2015-11-29,21
2015-12-06,37
2015-12-13,35
2015-12-20,22
2015-12-27,35
2016-01-03,28
2016-01-10,25
2016-01-17,30
2016-01-24,25
2016-01-31,30
2016-02-07,31
2016-02-14,26
2016-02-21,29
2016-02-28,32
2016-03-06,34
2016-03-13,37
2016-03-20,36
2016-03-27,29
2016-04-03,23
2016-04-10,29
2016-04-17,28
2016-04-24,29
2016-05-01,31
2016-05-08,30
2016-05-15,27
2016-05-22,32
2016-05-29,26
2016-06-05,34
2016-06-12,23
2016-06-19,31
2016-06-26,28
2016-07-03,25
2016-07-10,26
2016-07-17,37
2016-07-24,32
2016-07-31,42
2016-08-07,35
2016-08-14,31
2016-08-21,37
2016-08-28,37
2016-09-04,35
2016-09-11,24
2016-09-18,40
2016-09-25,32
2016-10-02,36
2016-10-09,32
2016-10-16,30
2016-10-23,25
2016-10-30,27
2016-11-06,32
2016-11-13,30
2016-11-20,33
2016-11-27,30
2016-12-04,27
2016-12-11,33
2016-12-18,34
2016-12-25,33
2017-01-01,37
2017-01-08,38
2017-01-15,33
2017-01-22,30
2017-01-29,28
2017-02-05,28
2017-02-12,31
2017-02-19,37
2017-02-26,25
2017-03-05,33
2017-03-12,33
2017-03-19,34
2017-03-26,32
2017-04-02,30
2017-04-09,37
2017-04-16,27
2017-04-23,35
2017-04-30,36
2017-05-07,34
2017-05-14,35
2017-05-21,34
2017-05-28,39
2017-06-04,31
2017-06-11,100
2017-06-18,50
2017-06-25,44
2017-07-02,38
2017-07-09,36
2017-07-16,34
2017-07-23,37
2017-07-30,34
2017-08-06,40
2017-08-13,40
2017-08-20,38
2017-08-27,41
2017-09-03,37
2017-09-10,36
2017-09-17,45
2017-09-24,45
2017-10-01,43
2017-10-08,35
2017-10-15,38
2017-10-22,41
2017-10-29,51
2017-11-05,48
2017-11-12,35
2017-11-19,44
2017-11-26,37
2017-12-03,38
2017-12-10,43
2017-12-17,43
2017-12-24,43
2017-12-31,48
2018-01-07,34
2018-01-14,49
2018-01-21,33
2018-01-28,41
2018-02-04,39
2018-02-11,81
2018-02-18,2
2018-02-25,1
2018-03-04,0
2018-03-11,1
2018-03-18,0
2018-03-25,1
2018-04-01,1
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,1
2018-06-03,1
2018-06-10,4
2018-06-17,1
2018-06-24,1
2018-07-01,1
2018-07-08,1
2018-07-15,1
2018-07-22,1
2018-07-29,1
2018-08-05,1
2018-08-12,1
2018-08-19,1
2018-08-26,1
2018-09-02,1
2018-09-09,1
2018-09-16,1
2018-09-23,2
2018-09-30,2
2018-10-07,3
2018-10-14,11
2018-10-21,6
2018-10-28,3
2018-11-04,2
2018-11-11,3
2018-11-18,4
2018-11-25,3
2018-12-02,3
2018-12-09,3
2018-12-16,4
2018-12-23,5
2018-12-30,4
2019-01-06,2
2019-01-13,2
2019-01-20,1
2019-01-27,1
2019-02-03,1
2019-02-10,2
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,1
