Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,12765.799805,12869.599609,12705.000000,12835.599609,12835.599609,915207000
2013-03-11,12824.900391,12904.700195,12725.799805,12830.000000,12830.000000,1062746200
2013-03-18,12788.900391,12831.200195,12745.400391,12757.400391,12757.400391,875713800
2013-03-25,12783.700195,12788.400391,12622.500000,12749.900391,12749.900391,641286000
2013-04-01,12751.599609,12751.599609,12244.200195,12331.900391,12331.900391,842983300
2013-04-08,12325.099609,12555.700195,12290.299805,12337.599609,12337.599609,815337900
2013-04-15,12184.099609,12335.900391,11916.599609,12065.599609,12065.599609,1066274300
2013-04-22,12117.799805,12370.700195,12026.900391,12220.200195,12220.200195,781449500
2013-04-29,12283.299805,12533.799805,12220.200195,12438.000000,12438.000000,885044900
2013-05-06,12480.200195,12601.099609,12416.299805,12589.099609,12589.099609,9015200
2013-05-13,12573.000000,12636.299805,12439.099609,12613.000000,12613.000000,8306200
2013-05-20,12669.500000,12889.299805,12598.900391,12667.200195,12667.200195,7604600
2013-05-27,12688.599609,12798.500000,12620.099609,12650.400391,12650.400391,9348600
2013-06-03,12661.200195,12681.200195,12310.299805,12373.299805,12373.299805,8599000
2013-06-10,12375.599609,12400.700195,12032.400391,12187.400391,12187.400391,8164200
2013-06-17,12249.299805,12389.099609,11935.700195,11995.700195,11995.700195,11589200
2013-06-24,11909.000000,12181.000000,11759.000000,12129.099609,12129.099609,9612800
2013-07-01,12178.000000,12217.400391,12055.599609,12134.900391,12134.900391,147618300
2013-07-08,12188.099609,12519.700195,12134.900391,12462.200195,12462.200195,7781600
2013-07-15,12515.900391,12693.900391,12462.200195,12685.099609,12685.099609,7833400
2013-07-22,12685.099609,12772.099609,12614.599609,12647.900391,12647.900391,8059200
2013-07-29,12647.900391,12688.400391,12486.599609,12603.299805,12603.299805,507404600
2013-08-05,12603.299805,12603.299805,12400.099609,12542.099609,12542.099609,652136000
2013-08-12,12542.200195,12800.000000,12542.200195,12736.900391,12736.900391,875014600
2013-08-19,12735.500000,12776.099609,12542.799805,12762.299805,12762.299805,578426000
2013-08-26,12762.299805,12812.599609,12567.200195,12653.900391,12653.900391,282584700
2013-09-02,12654.299805,12888.700195,12654.299805,12820.900391,12820.900391,288403400
2013-09-09,12820.900391,12861.400391,12693.900391,12723.400391,12723.400391,402127300
2013-09-16,12723.400391,12964.900391,12723.400391,12806.500000,12806.500000,972508700
2013-09-23,12806.500000,12913.599609,12784.099609,12844.099609,12844.099609,720604100
2013-09-30,12843.200195,12866.900391,12700.400391,12758.700195,12758.700195,755110600
2013-10-07,12758.700195,12934.599609,12678.000000,12892.099609,12892.099609,695400500
2013-10-14,12892.099609,13156.799805,12839.299805,13136.099609,13136.099609,551401400
2013-10-21,13136.099609,13402.400391,13136.099609,13399.400391,13399.400391,893835900
2013-10-28,13399.400391,13471.099609,13326.200195,13337.500000,13337.500000,849206300
2013-11-04,13337.500000,13412.299805,13285.200195,13378.299805,13378.299805,641467200
2013-11-11,13378.299805,13490.200195,13289.799805,13482.599609,13482.599609,759503200
2013-11-18,13482.599609,13517.000000,13387.299805,13478.299805,13478.299805,492551800
2013-11-25,13478.400391,13507.299805,13348.799805,13395.400391,13395.400391,628669300
2013-12-02,13395.400391,13459.000000,13200.400391,13280.700195,13280.700195,877153500
2013-12-09,13280.700195,13360.799805,13059.700195,13125.700195,13125.700195,636857300
2013-12-16,13125.700195,13504.299805,13125.700195,13399.599609,13399.599609,986322100
2013-12-23,13399.900391,13604.299805,13399.900391,13588.000000,13588.000000,233111300
2013-12-30,13587.599609,13644.299805,13521.799805,13548.900391,13548.900391,368000700
2014-01-06,13548.900391,13750.700195,13473.200195,13747.500000,13747.500000,801025500
2014-01-13,13747.500000,13910.400391,13658.000000,13888.200195,13888.200195,1086148300
2014-01-20,13888.200195,14002.400391,13698.299805,13717.799805,13717.799805,968527100
2014-01-27,13717.799805,13750.299805,13520.500000,13694.900391,13694.900391,888503500
2014-02-03,13694.900391,13793.500000,13450.299805,13786.500000,13786.500000,929102900
2014-02-10,13786.500000,14071.500000,13780.099609,14054.799805,14054.799805,1002785200
2014-02-17,14054.799805,14253.200195,14054.799805,14205.700195,14205.700195,797119200
2014-02-24,14205.700195,14280.900391,14176.400391,14209.599609,14209.599609,921947100
2014-03-03,14209.700195,14335.500000,14160.900391,14299.099609,14299.099609,840277200
2014-03-10,14299.000000,14330.400391,14201.200195,14227.700195,14227.700195,808304100
2014-03-17,14227.700195,14406.900391,14220.000000,14335.799805,14335.799805,948915600
2014-03-24,14335.799805,14402.500000,14139.299805,14260.700195,14260.700195,856329200
2014-03-31,14260.700195,14474.700195,14260.700195,14393.099609,14393.099609,892744900
2014-04-07,14393.099609,14444.900391,14221.400391,14257.700195,14257.700195,864614700
2014-04-14,14257.700195,14508.500000,14224.900391,14500.400391,14500.400391,703600300
2014-04-21,14500.400391,14587.099609,14232.299805,14533.599609,14533.599609,793573400
2014-04-28,14533.599609,14765.200195,14459.799805,14765.200195,14765.200195,769979000
2014-05-05,14765.200195,14765.200195,14491.900391,14534.099609,14534.099609,747114400
2014-05-12,14535.599609,14706.099609,14473.799805,14514.700195,14514.700195,733189700
2014-05-19,14514.700195,14742.500000,14488.599609,14708.099609,14708.099609,508096700
2014-05-26,14708.099609,14765.000000,14529.099609,14604.200195,14604.200195,699581400
2014-06-02,14604.200195,14840.500000,14604.200195,14838.900391,14838.900391,756739600
2014-06-09,14838.900391,15017.200195,14832.599609,15001.599609,15001.599609,755595200
2014-06-16,15001.599609,15124.900391,15001.599609,15109.000000,15109.000000,1027607000
2014-06-23,15109.400391,15137.700195,14937.900391,15094.299805,15094.299805,731217200
2014-06-30,15092.799805,15256.400391,15060.799805,15215.000000,15215.000000,484098400
2014-07-07,15215.400391,15216.099609,15021.099609,15125.500000,15125.500000,821608200
2014-07-14,15125.099609,15291.200195,15057.400391,15266.599609,15266.599609,784998900
2014-07-21,15266.400391,15503.400391,15208.799805,15455.000000,15455.000000,688129100
2014-07-28,15452.299805,15527.299805,15130.900391,15215.299805,15215.299805,837518000
2014-08-04,15215.900391,15254.799805,15056.099609,15196.299805,15196.299805,632751700
2014-08-11,15196.299805,15319.900391,15182.099609,15304.200195,15304.200195,706358900
2014-08-18,15304.200195,15574.200195,15304.200195,15535.599609,15535.599609,602334000
2014-08-25,15535.900391,15653.400391,15516.500000,15625.700195,15625.700195,622395800
2014-09-01,15626.900391,15685.099609,15525.200195,15569.900391,15569.900391,610375100
2014-09-08,15569.900391,15580.500000,15432.299805,15531.599609,15531.599609,743739700
2014-09-15,15530.900391,15556.200195,15238.000000,15265.400391,15265.400391,1111403000
2014-09-22,15259.400391,15266.099609,14821.700195,15026.799805,15026.799805,891958800
2014-09-29,14976.200195,15047.099609,14545.599609,14789.799805,14789.799805,1001988800
2014-10-06,14829.599609,14878.700195,14188.799805,14227.400391,14227.400391,1072533600
2014-10-13,14185.200195,14297.200195,13646.799805,14227.700195,14227.700195,1069468500
2014-10-20,14240.099609,14584.299805,14180.099609,14543.799805,14543.799805,872178100
2014-10-27,14526.000000,14641.299805,14385.299805,14613.299805,14613.299805,964032800
2014-11-03,14632.200195,14712.099609,14327.000000,14690.799805,14690.799805,1075515500
2014-11-10,14729.099609,14890.799805,14671.700195,14843.099609,14843.099609,970808800
2014-11-17,14825.900391,15184.400391,14825.900391,15111.099609,15111.099609,991832100
2014-11-24,15121.400391,15132.599609,14743.900391,14744.700195,14744.700195,971021200
2014-12-01,14753.500000,14789.000000,14435.000000,14473.700195,14473.700195,1284225700
2014-12-08,14410.099609,14410.099609,13713.200195,13731.099609,13731.099609,1406218900
2014-12-15,13758.299805,14530.500000,13635.500000,14468.299805,14468.299805,2227839500
2014-12-22,14494.599609,14645.099609,14395.400391,14609.299805,14609.299805,447153400
2014-12-29,14634.299805,14756.299805,14555.700195,14753.700195,14753.700195,486549400
2015-01-05,14709.000000,14709.000000,14162.000000,14384.900391,14384.900391,1174210300
2015-01-12,14378.299805,14378.299805,13892.599609,14309.400391,14309.400391,1473148100
2015-01-19,14307.700195,14853.299805,14195.400391,14779.400391,14779.400391,1170293300
2015-01-26,14787.700195,14852.700195,14392.599609,14673.500000,14673.500000,1227911200
2015-02-02,14713.900391,15204.500000,14713.900391,15083.900391,15083.900391,1263447600
2015-02-09,15084.900391,15339.500000,14977.200195,15264.799805,15264.799805,1092562600
2015-02-16,15249.000000,15349.000000,15099.900391,15172.200195,15172.200195,814754700
2015-02-23,15127.599609,15333.599609,15120.799805,15234.299805,15234.299805,1122498800
2015-03-02,15240.900391,15283.700195,14910.299805,14952.500000,14952.500000,1006707500
2015-03-09,14964.599609,14964.599609,14606.200195,14731.500000,14731.500000,938158400
2015-03-16,14733.500000,15028.000000,14719.299805,14942.400391,14942.400391,1246550400
2015-03-23,14962.900391,15161.599609,14717.700195,14812.400391,14812.400391,918521700
2015-03-30,14855.400391,15070.299805,14813.700195,15026.599609,15026.599609,714496100
2015-04-06,15028.700195,15406.099609,15016.500000,15388.400391,15388.400391,913302300
2015-04-13,15401.299805,15524.799805,15275.500000,15360.599609,15360.599609,960116000
2015-04-20,15376.799805,15483.099609,15215.900391,15408.299805,15408.299805,774377200
2015-04-27,15442.299805,15456.400391,15192.500000,15339.799805,15339.799805,938442400
2015-05-04,15347.700195,15416.599609,14934.299805,15170.000000,15170.000000,1061431100
2015-05-11,15182.200195,15237.200195,14948.299805,15108.099609,15108.099609,873814800
2015-05-18,15115.799805,15230.700195,15051.700195,15200.799805,15200.799805,624238300
2015-05-25,15192.599609,15205.299805,14956.000000,15014.099609,15014.099609,764573600
2015-06-01,15040.900391,15182.200195,14946.000000,14957.200195,14957.200195,750267100
2015-06-08,14939.099609,14953.000000,14687.000000,14741.200195,14741.200195,769797100
2015-06-15,14684.200195,14825.099609,14584.400391,14653.099609,14653.099609,1104568900
2015-06-22,14644.900391,14995.299805,14644.900391,14808.099609,14808.099609,758348000
2015-06-29,14738.500000,14738.500000,14482.200195,14682.400391,14682.400391,567699600
2015-07-06,14594.599609,14670.299805,14275.500000,14411.099609,14411.099609,900000100
2015-07-13,14499.400391,14748.000000,14453.299805,14642.799805,14642.799805,779088500
2015-07-20,14630.500000,14630.500000,14145.299805,14186.200195,14186.200195,913458100
2015-07-27,14101.000000,14501.599609,13938.900391,14468.400391,14468.400391,987138800
2015-08-03,14465.799805,14622.400391,14265.000000,14302.700195,14302.700195,749150500
2015-08-10,14346.700195,14471.099609,14182.500000,14277.900391,14277.900391,925824200
2015-08-17,14267.200195,14267.200195,13468.700195,13473.700195,13473.700195,980264600
2015-08-24,13351.000000,13866.299805,12705.200195,13865.099609,13865.099609,1277470000
2015-08-31,13832.900391,13888.200195,13414.599609,13478.299805,13478.299805,1016767200
2015-09-07,13636.099609,13766.700195,13404.599609,13461.500000,13461.500000,751573900
2015-09-14,13460.000000,13876.000000,13353.299805,13646.900391,13646.900391,1401737800
2015-09-21,13701.700195,13847.400391,13237.400391,13378.599609,13378.599609,932861900
2015-09-28,13295.900391,13379.900391,12964.099609,13339.700195,13339.700195,1071602800
2015-10-05,13416.299805,14053.200195,13416.299805,13964.400391,13964.400391,1444005900
2015-10-12,13927.200195,13958.500000,13761.200195,13838.099609,13838.099609,827751800
2015-10-19,13777.000000,14014.799805,13626.099609,13953.700195,13953.700195,959433200
2015-10-26,13940.500000,13947.700195,13519.500000,13529.200195,13529.200195,1165868600
2015-11-02,13531.000000,13790.099609,13481.500000,13553.299805,13553.299805,1049354500
2015-11-09,13556.599609,13556.599609,13030.500000,13075.400391,13075.400391,1003671800
2015-11-16,13080.700195,13514.799805,13078.799805,13433.500000,13433.500000,937132000
2015-11-23,13417.599609,13508.099609,13353.500000,13368.200195,13368.200195,724855000
2015-11-30,13390.599609,13653.700195,13268.400391,13358.799805,13358.799805,1161388800
2015-12-07,13316.200195,13316.200195,12771.200195,12790.000000,12790.000000,1132239100
2015-12-14,12776.299805,13182.700195,12617.700195,13024.299805,13024.299805,1552210600
2015-12-21,13051.500000,13344.200195,12950.500000,13309.799805,13309.799805,619113400
2015-12-28,13279.500000,13315.200195,12988.000000,13010.000000,13010.000000,329014600
2016-01-04,12920.599609,12954.900391,12431.900391,12445.500000,12445.500000,1107985900
2016-01-11,12464.500000,12499.500000,11950.900391,12073.500000,12073.500000,1291867800
2016-01-18,12025.599609,12389.599609,11531.200195,12389.599609,12389.599609,1349042300
2016-01-25,12377.500000,12822.099609,12130.299805,12822.099609,12822.099609,1380748400
2016-02-01,12766.200195,12826.700195,12320.400391,12764.000000,12764.000000,1247916700
2016-02-08,12691.099609,12691.099609,11985.700195,12381.200195,12381.200195,1480137200
2016-02-15,12431.299805,12947.299805,12373.200195,12813.400391,12813.400391,1181085400
2016-02-22,12888.700195,12984.700195,12506.099609,12797.799805,12797.799805,1345242500
2016-02-29,12820.099609,13281.799805,12784.799805,13212.500000,13212.500000,1617728900
2016-03-07,13235.299805,13543.299805,13235.299805,13522.000000,13522.000000,1488747800
2016-03-14,13520.099609,13685.500000,13284.200195,13497.099609,13497.099609,1739420600
2016-03-21,13496.000000,13567.400391,13255.500000,13358.099609,13358.099609,813786900
2016-03-28,13369.299805,13575.000000,13270.200195,13440.400391,13440.400391,960419800
2016-04-04,13450.000000,13452.900391,13217.200195,13396.700195,13396.700195,987704500
2016-04-11,13422.099609,13703.599609,13422.099609,13637.200195,13637.200195,1170109700
2016-04-18,13595.599609,13971.799805,13548.799805,13874.000000,13874.000000,1274752100
2016-04-25,13861.099609,13972.599609,13756.000000,13951.500000,13951.500000,1305247200
2016-05-02,13963.900391,13963.900391,13570.000000,13701.500000,13701.500000,1216502100
2016-05-09,13663.599609,13882.500000,13535.500000,13748.599609,13748.599609,1125685700
2016-05-16,13807.200195,13981.200195,13690.200195,13919.599609,13919.599609,1158531800
2016-05-23,13927.700195,14143.500000,13920.299805,14105.200195,14105.200195,821865000
2016-05-30,14119.599609,14240.299805,13959.599609,14226.799805,14226.799805,1001858100
2016-06-06,14261.200195,14450.900391,14003.700195,14037.500000,14037.500000,1137396600
2016-06-13,14035.400391,14078.599609,13814.200195,13901.799805,13901.799805,1517292100
