Week,Charging station: (Worldwide)
2013-02-17,40
2013-02-24,36
2013-03-03,36
2013-03-10,38
2013-03-17,40
2013-03-24,40
2013-03-31,39
2013-04-07,39
2013-04-14,36
2013-04-21,37
2013-04-28,40
2013-05-05,38
2013-05-12,40
2013-05-19,38
2013-05-26,40
2013-06-02,39
2013-06-09,38
2013-06-16,41
2013-06-23,38
2013-06-30,37
2013-07-07,41
2013-07-14,40
2013-07-21,40
2013-07-28,41
2013-08-04,41
2013-08-11,41
2013-08-18,43
2013-08-25,41
2013-09-01,42
2013-09-08,43
2013-09-15,40
2013-09-22,42
2013-09-29,37
2013-10-06,40
2013-10-13,41
2013-10-20,42
2013-10-27,40
2013-11-03,42
2013-11-10,44
2013-11-17,48
2013-11-24,51
2013-12-01,52
2013-12-08,57
2013-12-15,52
2013-12-22,59
2013-12-29,56
2014-01-05,50
2014-01-12,48
2014-01-19,46
2014-01-26,45
2014-02-02,42
2014-02-09,45
2014-02-16,41
2014-02-23,46
2014-03-02,46
2014-03-09,42
2014-03-16,46
2014-03-23,41
2014-03-30,42
2014-04-06,41
2014-04-13,44
2014-04-20,47
2014-04-27,49
2014-05-04,46
2014-05-11,45
2014-05-18,43
2014-05-25,44
2014-06-01,43
2014-06-08,46
2014-06-15,51
2014-06-22,52
2014-06-29,44
2014-07-06,50
2014-07-13,51
2014-07-20,46
2014-07-27,52
2014-08-03,46
2014-08-10,46
2014-08-17,46
2014-08-24,46
2014-08-31,53
2014-09-07,48
2014-09-14,48
2014-09-21,50
2014-09-28,44
2014-10-05,50
2014-10-12,49
2014-10-19,49
2014-10-26,47
2014-11-02,51
2014-11-09,49
2014-11-16,53
2014-11-23,52
2014-11-30,57
2014-12-07,61
2014-12-14,59
2014-12-21,61
2014-12-28,58
2015-01-04,54
2015-01-11,50
2015-01-18,48
2015-01-25,49
2015-02-01,46
2015-02-08,49
2015-02-15,48
2015-02-22,47
2015-03-01,50
2015-03-08,46
2015-03-15,48
2015-03-22,49
2015-03-29,48
2015-04-05,50
2015-04-12,51
2015-04-19,54
2015-04-26,51
2015-05-03,48
2015-05-10,50
2015-05-17,52
2015-05-24,54
2015-05-31,49
2015-06-07,52
2015-06-14,52
2015-06-21,52
2015-06-28,49
2015-07-05,51
2015-07-12,54
2015-07-19,52
2015-07-26,52
2015-08-02,52
2015-08-09,54
2015-08-16,54
2015-08-23,52
2015-08-30,52
2015-09-06,51
2015-09-13,51
2015-09-20,52
2015-09-27,51
2015-10-04,50
2015-10-11,54
2015-10-18,53
2015-10-25,51
2015-11-01,53
2015-11-08,58
2015-11-15,55
2015-11-22,66
2015-11-29,72
2015-12-06,70
2015-12-13,72
2015-12-20,73
2015-12-27,71
2016-01-03,62
2016-01-10,53
2016-01-17,52
2016-01-24,52
2016-01-31,52
2016-02-07,52
2016-02-14,51
2016-02-21,51
2016-02-28,53
2016-03-06,53
2016-03-13,55
2016-03-20,55
2016-03-27,70
2016-04-03,67
2016-04-10,60
2016-04-17,51
2016-04-24,57
2016-05-01,52
2016-05-08,50
2016-05-15,54
2016-05-22,52
2016-05-29,52
2016-06-05,55
2016-06-12,54
2016-06-19,54
2016-06-26,56
2016-07-03,53
2016-07-10,59
2016-07-17,56
2016-07-24,60
2016-07-31,56
2016-08-07,56
2016-08-14,55
2016-08-21,58
2016-08-28,63
2016-09-04,58
2016-09-11,59
2016-09-18,57
2016-09-25,55
2016-10-02,56
2016-10-09,61
2016-10-16,57
2016-10-23,53
2016-10-30,55
2016-11-06,60
2016-11-13,60
2016-11-20,69
2016-11-27,74
2016-12-04,74
2016-12-11,77
2016-12-18,74
2016-12-25,76
2017-01-01,73
2017-01-08,66
2017-01-15,66
2017-01-22,64
2017-01-29,62
2017-02-05,63
2017-02-12,61
2017-02-19,63
2017-02-26,61
2017-03-05,62
2017-03-12,66
2017-03-19,65
2017-03-26,64
2017-04-02,66
2017-04-09,65
2017-04-16,66
2017-04-23,67
2017-04-30,65
2017-05-07,63
2017-05-14,59
2017-05-21,62
2017-05-28,66
2017-06-04,63
2017-06-11,66
2017-06-18,69
2017-06-25,65
2017-07-02,78
2017-07-09,81
2017-07-16,74
2017-07-23,84
2017-07-30,87
2017-08-06,83
2017-08-13,74
2017-08-20,73
2017-08-27,74
2017-09-03,78
2017-09-10,85
2017-09-17,80
2017-09-24,83
2017-10-01,75
2017-10-08,83
2017-10-15,81
2017-10-22,78
2017-10-29,83
2017-11-05,85
2017-11-12,89
2017-11-19,95
2017-11-26,99
2017-12-03,100
2017-12-10,99
2017-12-17,100
2017-12-24,98
2017-12-31,89
2018-01-07,91
2018-01-14,82
2018-01-21,85
2018-01-28,85
2018-02-04,81
2018-02-11,84
2018-02-18,26
2018-02-25,27
2018-03-04,26
2018-03-11,27
2018-03-18,27
2018-03-25,26
2018-04-01,27
2018-04-08,25
2018-04-15,26
2018-04-22,25
2018-04-29,26
2018-05-06,24
2018-05-13,27
2018-05-20,26
2018-05-27,28
2018-06-03,28
2018-06-10,27
2018-06-17,26
2018-06-24,27
2018-07-01,27
2018-07-08,30
2018-07-15,30
2018-07-22,30
2018-07-29,29
2018-08-05,29
2018-08-12,30
2018-08-19,29
2018-08-26,28
2018-09-02,30
2018-09-09,30
2018-09-16,30
2018-09-23,28
2018-09-30,30
2018-10-07,32
2018-10-14,33
2018-10-21,32
2018-10-28,31
2018-11-04,32
2018-11-11,33
2018-11-18,36
2018-11-25,37
2018-12-02,35
2018-12-09,39
2018-12-16,38
2018-12-23,44
2018-12-30,37
2019-01-06,34
2019-01-13,39
2019-01-20,36
2019-01-27,31
2019-02-03,31
2019-02-10,31
2019-02-17,31
2019-02-24,32
2019-03-03,34
2019-03-10,32
2019-03-17,33
2019-03-24,33
2019-03-31,35
2019-04-07,35
2019-04-14,34
2019-04-21,36
2019-04-28,36
2019-05-05,38
2019-05-12,33
2019-05-19,35
2019-05-26,37
2019-06-02,34
2019-06-09,38
2019-06-16,35
2019-06-23,37
2019-06-30,36
