Category: All categories

Week,hotels: (Worldwide)
2018-02-11,74
2018-02-18,76
2018-02-25,76
2018-03-04,80
2018-03-11,78
2018-03-18,77
2018-03-25,76
2018-04-01,79
2018-04-08,72
2018-04-15,73
2018-04-22,73
2018-04-29,73
2018-05-06,74
2018-05-13,74
2018-05-20,83
2018-05-27,82
2018-06-03,84
2018-06-10,85
2018-06-17,81
2018-06-24,86
2018-07-01,84
2018-07-08,88
2018-07-15,91
2018-07-22,89
2018-07-29,92
2018-08-05,93
2018-08-12,85
2018-08-19,78
2018-08-26,75
2018-09-02,72
2018-09-09,70
2018-09-16,67
2018-09-23,70
2018-09-30,72
2018-10-07,70
2018-10-14,65
2018-10-21,60
2018-10-28,58
2018-11-04,62
2018-11-11,63
2018-11-18,53
2018-11-25,59
2018-12-02,60
2018-12-09,61
2018-12-16,59
2018-12-23,68
2018-12-30,76
2019-01-06,74
2019-01-13,74
2019-01-20,72
2019-01-27,69
2019-02-03,74
2019-02-10,79
2019-02-17,76
2019-02-24,76
2019-03-03,83
2019-03-10,76
2019-03-17,77
2019-03-24,76
2019-03-31,78
2019-04-07,75
2019-04-14,73
2019-04-21,74
2019-04-28,79
2019-05-05,74
2019-05-12,77
2019-05-19,83
2019-05-26,81
2019-06-02,84
2019-06-09,81
2019-06-16,90
2019-06-23,86
2019-06-30,84
2019-07-07,92
2019-07-14,93
2019-07-21,96
2019-07-28,89
2019-08-04,87
2019-08-11,83
2019-08-18,80
2019-08-25,78
2019-09-01,80
2019-09-08,84
2019-09-15,84
2019-09-22,82
2019-09-29,79
2019-10-06,80
2019-10-13,73
2019-10-20,70
2019-10-27,68
2019-11-03,71
2019-11-10,69
2019-11-17,73
2019-11-24,69
2019-12-01,69
2019-12-08,69
2019-12-15,78
2019-12-22,88
2019-12-29,93
2020-01-05,92
2020-01-12,87
2020-01-19,84
2020-01-26,81
2020-02-02,83
2020-02-09,84
2020-02-16,82
2020-02-23,77
2020-03-01,74
2020-03-08,65
2020-03-15,49
2020-03-22,34
2020-03-29,30
2020-04-05,32
2020-04-12,31
2020-04-19,32
2020-04-26,33
2020-05-03,38
2020-05-10,43
2020-05-17,51
2020-05-24,48
2020-05-31,56
2020-06-07,63
2020-06-14,64
2020-06-21,66
2020-06-28,64
2020-07-05,65
2020-07-12,67
2020-07-19,69
2020-07-26,65
2020-08-02,68
2020-08-09,70
2020-08-16,70
2020-08-23,69
2020-08-30,69
2020-09-06,64
2020-09-13,61
2020-09-20,56
2020-09-27,58
2020-10-04,61
2020-10-11,62
2020-10-18,54
2020-10-25,48
2020-11-01,47
2020-11-08,52
2020-11-15,49
2020-11-22,48
2020-11-29,46
2020-12-06,48
2020-12-13,49
2020-12-20,51
2020-12-27,60
2021-01-03,55
2021-01-10,53
2021-01-17,53
2021-01-24,51
2021-01-31,53
2021-02-07,56
2021-02-14,60
2021-02-21,55
2021-02-28,57
2021-03-07,62
2021-03-14,69
2021-03-21,79
2021-03-28,79
2021-04-04,81
2021-04-11,78
2021-04-18,73
2021-04-25,74
2021-05-02,78
2021-05-09,83
2021-05-16,83
2021-05-23,82
2021-05-30,86
2021-06-06,88
2021-06-13,86
2021-06-20,94
2021-06-27,92
2021-07-04,94
2021-07-11,97
2021-07-18,100
2021-07-25,92
2021-08-01,90
2021-08-08,89
2021-08-15,86
2021-08-22,82
2021-08-29,84
2021-09-05,81
2021-09-12,82
2021-09-19,80
2021-09-26,78
2021-10-03,83
2021-10-10,82
2021-10-17,78
2021-10-24,77
2021-10-31,70
2021-11-07,73
2021-11-14,72
2021-11-21,68
2021-11-28,71
2021-12-05,77
2021-12-12,69
2021-12-19,64
2021-12-26,81
2022-01-02,63
2022-01-09,65
2022-01-16,58
2022-01-23,60
2022-01-30,67
2022-02-06,72
2022-02-13,71
2022-02-20,72
2022-02-27,74
2022-03-06,70
2022-03-13,72
2022-03-20,73
2022-03-27,74
2022-04-03,71
2022-04-10,71
2022-04-17,73
2022-04-24,72
2022-05-01,75
2022-05-08,72
2022-05-15,73
2022-05-22,79
2022-05-29,74
2022-06-05,78
2022-06-12,79
2022-06-19,79
2022-06-26,78
2022-07-03,77
2022-07-10,81
2022-07-17,81
2022-07-24,80
2022-07-31,85
2022-08-07,76
2022-08-14,76
2022-08-21,74
2022-08-28,71
2022-09-04,69
2022-09-11,67
2022-09-18,67
2022-09-25,64
2022-10-02,66
2022-10-09,64
2022-10-16,63
2022-10-23,58
2022-10-30,61
2022-11-06,57
2022-11-13,59
2022-11-20,52
2022-11-27,54
2022-12-04,52
2022-12-11,54
2022-12-18,54
2022-12-25,68
2023-01-01,67
2023-01-08,69
2023-01-15,64
2023-01-22,64
2023-01-29,59
