Category: All categories

Week,Tech: (Worldwide)
2018-02-11,62
2018-02-18,63
2018-02-25,61
2018-03-04,62
2018-03-11,65
2018-03-18,68
2018-03-25,63
2018-04-01,59
2018-04-08,56
2018-04-15,58
2018-04-22,58
2018-04-29,59
2018-05-06,59
2018-05-13,55
2018-05-20,58
2018-05-27,55
2018-06-03,59
2018-06-10,59
2018-06-17,60
2018-06-24,54
2018-07-01,50
2018-07-08,57
2018-07-15,55
2018-07-22,55
2018-07-29,57
2018-08-05,57
2018-08-12,61
2018-08-19,63
2018-08-26,68
2018-09-02,73
2018-09-09,67
2018-09-16,66
2018-09-23,69
2018-09-30,64
2018-10-07,69
2018-10-14,62
2018-10-21,64
2018-10-28,58
2018-11-04,67
2018-11-11,70
2018-11-18,68
2018-11-25,68
2018-12-02,63
2018-12-09,61
2018-12-16,59
2018-12-23,52
2018-12-30,52
2019-01-06,63
2019-01-13,63
2019-01-20,56
2019-01-27,63
2019-02-03,59
2019-02-10,56
2019-02-17,62
2019-02-24,63
2019-03-03,61
2019-03-10,59
2019-03-17,63
2019-03-24,91
2019-03-31,75
2019-04-07,100
2019-04-14,52
2019-04-21,59
2019-04-28,56
2019-05-05,58
2019-05-12,58
2019-05-19,57
2019-05-26,59
2019-06-02,58
2019-06-09,62
2019-06-16,60
2019-06-23,54
2019-06-30,51
2019-07-07,53
2019-07-14,55
2019-07-21,58
2019-07-28,57
2019-08-04,55
2019-08-11,62
2019-08-18,65
2019-08-25,69
2019-09-01,65
2019-09-08,68
2019-09-15,66
2019-09-22,67
2019-09-29,64
2019-10-06,63
2019-10-13,66
2019-10-20,63
2019-10-27,59
2019-11-03,64
2019-11-10,65
2019-11-17,70
2019-11-24,67
2019-12-01,66
2019-12-08,60
2019-12-15,60
2019-12-22,49
2019-12-29,55
2020-01-05,63
2020-01-12,63
2020-01-19,60
2020-01-26,61
2020-02-02,61
2020-02-09,59
2020-02-16,61
2020-02-23,61
2020-03-01,61
2020-03-08,55
2020-03-15,45
2020-03-22,42
2020-03-29,44
2020-04-05,44
2020-04-12,46
2020-04-19,47
2020-04-26,48
2020-05-03,51
2020-05-10,51
2020-05-17,51
2020-05-24,52
2020-05-31,50
2020-06-07,53
2020-06-14,52
2020-06-21,55
2020-06-28,51
2020-07-05,54
2020-07-12,56
2020-07-19,54
2020-07-26,56
2020-08-02,55
2020-08-09,56
2020-08-16,59
2020-08-23,58
2020-08-30,59
2020-09-06,61
2020-09-13,65
2020-09-20,63
2020-09-27,60
2020-10-04,60
2020-10-11,55
2020-10-18,58
2020-10-25,53
2020-11-01,51
2020-11-08,56
2020-11-15,58
2020-11-22,56
2020-11-29,62
2020-12-06,60
2020-12-13,59
2020-12-20,48
2020-12-27,51
2021-01-03,56
2021-01-10,61
2021-01-17,57
2021-01-24,55
2021-01-31,56
2021-02-07,54
2021-02-14,52
2021-02-21,57
2021-02-28,57
2021-03-07,57
2021-03-14,62
2021-03-21,56
2021-03-28,53
2021-04-04,52
2021-04-11,53
2021-04-18,52
2021-04-25,53
2021-05-02,52
2021-05-09,52
2021-05-16,50
2021-05-23,52
2021-05-30,51
2021-06-06,54
2021-06-13,52
2021-06-20,52
2021-06-27,50
2021-07-04,52
2021-07-11,55
2021-07-18,53
2021-07-25,54
2021-08-01,54
2021-08-08,56
2021-08-15,56
2021-08-22,58
2021-08-29,61
2021-09-05,61
2021-09-12,64
2021-09-19,64
2021-09-26,60
2021-10-03,63
2021-10-10,67
2021-10-17,69
2021-10-24,64
2021-10-31,60
2021-11-07,66
2021-11-14,68
2021-11-21,72
2021-11-28,72
2021-12-05,65
2021-12-12,64
2021-12-19,60
2021-12-26,65
2022-01-02,67
2022-01-09,70
2022-01-16,66
2022-01-23,65
2022-01-30,73
2022-02-06,66
2022-02-13,67
2022-02-20,67
2022-02-27,66
2022-03-06,66
2022-03-13,72
2022-03-20,82
2022-03-27,69
2022-04-03,66
2022-04-10,64
2022-04-17,66
2022-04-24,67
2022-05-01,69
2022-05-08,65
2022-05-15,66
2022-05-22,65
2022-05-29,62
2022-06-05,65
2022-06-12,62
2022-06-19,63
2022-06-26,60
2022-07-03,60
2022-07-10,61
2022-07-17,66
2022-07-24,65
2022-07-31,65
2022-08-07,65
2022-08-14,67
2022-08-21,72
2022-08-28,73
2022-09-04,76
2022-09-11,77
2022-09-18,81
2022-09-25,77
2022-10-02,74
2022-10-09,72
2022-10-16,71
2022-10-23,70
2022-10-30,75
2022-11-06,70
2022-11-13,80
2022-11-20,71
2022-11-27,75
2022-12-04,71
2022-12-11,75
2022-12-18,70
2022-12-25,67
2023-01-01,72
2023-01-08,71
2023-01-15,74
2023-01-22,72
2023-01-29,74
