Category: All categories

Week,new apple product: (Worldwide)
2018-02-11,19
2018-02-18,15
2018-02-25,13
2018-03-04,16
2018-03-11,16
2018-03-18,17
2018-03-25,32
2018-04-01,28
2018-04-08,11
2018-04-15,25
2018-04-22,18
2018-04-29,12
2018-05-06,13
2018-05-13,21
2018-05-20,21
2018-05-27,17
2018-06-03,17
2018-06-10,9
2018-06-17,13
2018-06-24,17
2018-07-01,14
2018-07-08,15
2018-07-15,14
2018-07-22,15
2018-07-29,13
2018-08-05,21
2018-08-12,10
2018-08-19,12
2018-08-26,29
2018-09-02,29
2018-09-09,100
2018-09-16,29
2018-09-23,10
2018-09-30,13
2018-10-07,14
2018-10-14,28
2018-10-21,23
2018-10-28,35
2018-11-04,22
2018-11-11,17
2018-11-18,16
2018-11-25,8
2018-12-02,26
2018-12-09,7
2018-12-16,11
2018-12-23,29
2018-12-30,9
2019-01-06,15
2019-01-13,25
2019-01-20,6
2019-01-27,14
2019-02-03,13
2019-02-10,19
2019-02-17,14
2019-02-24,6
2019-03-03,22
2019-03-10,25
2019-03-17,30
2019-03-24,29
2019-03-31,24
2019-04-07,17
2019-04-14,15
2019-04-21,5
2019-04-28,22
2019-05-05,8
2019-05-12,21
2019-05-19,11
2019-05-26,6
2019-06-02,59
2019-06-09,20
2019-06-16,16
2019-06-23,12
2019-06-30,8
2019-07-07,9
2019-07-14,17
2019-07-21,10
2019-07-28,14
2019-08-04,9
2019-08-11,14
2019-08-18,10
2019-08-25,17
2019-09-01,27
2019-09-08,72
2019-09-15,19
2019-09-22,18
2019-09-29,16
2019-10-06,17
2019-10-13,12
2019-10-20,17
2019-10-27,23
2019-11-03,20
2019-11-10,13
2019-11-17,19
2019-11-24,18
2019-12-01,14
2019-12-08,11
2019-12-15,0
2019-12-22,13
2019-12-29,13
2020-01-05,10
2020-01-12,13
2020-01-19,24
2020-01-26,4
2020-02-02,17
2020-02-09,15
2020-02-16,11
2020-02-23,21
2020-03-01,21
2020-03-08,17
2020-03-15,19
2020-03-22,13
2020-03-29,16
2020-04-05,22
2020-04-12,28
2020-04-19,22
2020-04-26,14
2020-05-03,21
2020-05-10,8
2020-05-17,15
2020-05-24,15
2020-05-31,13
2020-06-07,15
2020-06-14,15
2020-06-21,22
2020-06-28,8
2020-07-05,14
2020-07-12,17
2020-07-19,19
2020-07-26,15
2020-08-02,21
2020-08-09,14
2020-08-16,20
2020-08-23,19
2020-08-30,33
2020-09-06,41
2020-09-13,62
2020-09-20,29
2020-09-27,30
2020-10-04,30
2020-10-11,30
2020-10-18,21
2020-10-25,27
2020-11-01,21
2020-11-08,21
2020-11-15,20
2020-11-22,10
2020-11-29,18
2020-12-06,41
2020-12-13,15
2020-12-20,7
2020-12-27,5
2021-01-03,11
2021-01-10,22
2021-01-17,14
2021-01-24,22
2021-01-31,12
2021-02-07,14
2021-02-14,23
2021-02-21,28
2021-02-28,23
2021-03-07,23
2021-03-14,25
2021-03-21,20
2021-03-28,14
2021-04-04,18
2021-04-11,28
2021-04-18,41
2021-04-25,30
2021-05-02,16
2021-05-09,19
2021-05-16,15
2021-05-23,22
2021-05-30,14
2021-06-06,26
2021-06-13,8
2021-06-20,12
2021-06-27,13
2021-07-04,9
2021-07-11,13
2021-07-18,23
2021-07-25,19
2021-08-01,15
2021-08-08,16
2021-08-15,23
2021-08-22,17
2021-08-29,16
2021-09-05,22
2021-09-12,65
2021-09-19,24
2021-09-26,18
2021-10-03,16
2021-10-10,35
2021-10-17,42
2021-10-24,26
2021-10-31,26
2021-11-07,19
2021-11-14,20
2021-11-21,27
2021-11-28,23
2021-12-05,22
2021-12-12,14
2021-12-19,14
2021-12-26,9
2022-01-02,21
2022-01-09,13
2022-01-16,5
2022-01-23,27
2022-01-30,23
2022-02-06,19
2022-02-13,27
2022-02-20,21
2022-02-27,28
2022-03-06,54
2022-03-13,40
2022-03-20,17
2022-03-27,31
2022-04-03,30
2022-04-10,32
2022-04-17,24
2022-04-24,35
2022-05-01,29
2022-05-08,26
2022-05-15,21
2022-05-22,16
2022-05-29,16
2022-06-05,27
2022-06-12,28
2022-06-19,19
2022-06-26,13
2022-07-03,32
2022-07-10,17
2022-07-17,24
2022-07-24,21
2022-07-31,25
2022-08-07,16
2022-08-14,19
2022-08-21,30
2022-08-28,33
2022-09-04,50
2022-09-11,23
2022-09-18,36
2022-09-25,25
2022-10-02,28
2022-10-09,23
2022-10-16,30
2022-10-23,24
2022-10-30,42
2022-11-06,24
2022-11-13,27
2022-11-20,13
2022-11-27,19
2022-12-04,21
2022-12-11,20
2022-12-18,25
2022-12-25,20
2023-01-01,21
2023-01-08,22
2023-01-15,22
2023-01-22,23
2023-01-29,25
