Week,Autodrive: (Worldwide)
2013-02-17,69
2013-02-24,67
2013-03-03,66
2013-03-10,42
2013-03-17,78
2013-03-24,74
2013-03-31,77
2013-04-07,55
2013-04-14,46
2013-04-21,81
2013-04-28,84
2013-05-05,74
2013-05-12,37
2013-05-19,90
2013-05-26,42
2013-06-02,62
2013-06-09,53
2013-06-16,9
2013-06-23,51
2013-06-30,65
2013-07-07,49
2013-07-14,67
2013-07-21,43
2013-07-28,74
2013-08-04,52
2013-08-11,44
2013-08-18,33
2013-08-25,46
2013-09-01,77
2013-09-08,30
2013-09-15,45
2013-09-22,34
2013-09-29,62
2013-10-06,36
2013-10-13,40
2013-10-20,18
2013-10-27,62
2013-11-03,53
2013-11-10,42
2013-11-17,21
2013-11-24,61
2013-12-01,39
2013-12-08,65
2013-12-15,48
2013-12-22,66
2013-12-29,42
2014-01-05,52
2014-01-12,45
2014-01-19,38
2014-01-26,53
2014-02-02,94
2014-02-09,50
2014-02-16,42
2014-02-23,47
2014-03-02,70
2014-03-09,74
2014-03-16,77
2014-03-23,51
2014-03-30,74
2014-04-06,61
2014-04-13,42
2014-04-20,31
2014-04-27,55
2014-05-04,59
2014-05-11,50
2014-05-18,46
2014-05-25,51
2014-06-01,80
2014-06-08,41
2014-06-15,35
2014-06-22,46
2014-06-29,63
2014-07-06,43
2014-07-13,51
2014-07-20,28
2014-07-27,67
2014-08-03,41
2014-08-10,52
2014-08-17,61
2014-08-24,68
2014-08-31,72
2014-09-07,62
2014-09-14,47
2014-09-21,53
2014-09-28,35
2014-10-05,48
2014-10-12,36
2014-10-19,56
2014-10-26,46
2014-11-02,39
2014-11-09,45
2014-11-16,45
2014-11-23,56
2014-11-30,26
2014-12-07,61
2014-12-14,53
2014-12-21,0
2014-12-28,55
2015-01-04,27
2015-01-11,15
2015-01-18,69
2015-01-25,42
2015-02-01,71
2015-02-08,50
2015-02-15,72
2015-02-22,83
2015-03-01,79
2015-03-08,53
2015-03-15,57
2015-03-22,60
2015-03-29,37
2015-04-05,100
2015-04-12,50
2015-04-19,59
2015-04-26,73
2015-05-03,86
2015-05-10,44
2015-05-17,53
2015-05-24,96
2015-05-31,63
2015-06-07,56
2015-06-14,52
2015-06-21,73
2015-06-28,43
2015-07-05,40
2015-07-12,62
2015-07-19,49
2015-07-26,62
2015-08-02,35
2015-08-09,47
2015-08-16,35
2015-08-23,42
2015-08-30,44
