Week,Electric Vehicle: (Worldwide)
2013-02-17,51
2013-02-24,46
2013-03-03,56
2013-03-10,62
2013-03-17,47
2013-03-24,59
2013-03-31,51
2013-04-07,54
2013-04-14,51
2013-04-21,61
2013-04-28,51
2013-05-05,57
2013-05-12,54
2013-05-19,55
2013-05-26,52
2013-06-02,47
2013-06-09,48
2013-06-16,49
2013-06-23,49
2013-06-30,42
2013-07-07,49
2013-07-14,52
2013-07-21,48
2013-07-28,51
2013-08-04,58
2013-08-11,51
2013-08-18,47
2013-08-25,49
2013-09-01,51
2013-09-08,44
2013-09-15,43
2013-09-22,64
2013-09-29,61
2013-10-06,48
2013-10-13,57
2013-10-20,55
2013-10-27,57
2013-11-03,53
2013-11-10,56
2013-11-17,52
2013-11-24,45
2013-12-01,68
2013-12-08,51
2013-12-15,44
2013-12-22,39
2013-12-29,38
2014-01-05,47
2014-01-12,40
2014-01-19,49
2014-01-26,61
2014-02-02,49
2014-02-09,58
2014-02-16,53
2014-02-23,57
2014-03-02,53
2014-03-09,50
2014-03-16,57
2014-03-23,56
2014-03-30,53
2014-04-06,55
2014-04-13,58
2014-04-20,54
2014-04-27,57
2014-05-04,53
2014-05-11,55
2014-05-18,52
2014-05-25,53
2014-06-01,48
2014-06-08,54
2014-06-15,51
2014-06-22,51
2014-06-29,49
2014-07-06,49
2014-07-13,53
2014-07-20,59
2014-07-27,47
2014-08-03,56
2014-08-10,52
2014-08-17,53
2014-08-24,44
2014-08-31,57
2014-09-07,50
2014-09-14,52
2014-09-21,63
2014-09-28,57
2014-10-05,60
2014-10-12,54
2014-10-19,55
2014-10-26,49
2014-11-02,51
2014-11-09,55
2014-11-16,58
2014-11-23,45
2014-11-30,53
2014-12-07,43
2014-12-14,46
2014-12-21,35
2014-12-28,38
2015-01-04,46
2015-01-11,48
2015-01-18,52
2015-01-25,52
2015-02-01,48
2015-02-08,54
2015-02-15,52
2015-02-22,51
2015-03-01,54
2015-03-08,47
2015-03-15,53
2015-03-22,56
2015-03-29,54
2015-04-05,58
2015-04-12,63
2015-04-19,58
2015-04-26,53
2015-05-03,60
2015-05-10,51
2015-05-17,53
2015-05-24,56
2015-05-31,50
2015-06-07,43
2015-06-14,54
2015-06-21,47
2015-06-28,51
2015-07-05,49
2015-07-12,53
2015-07-19,54
2015-07-26,50
2015-08-02,50
2015-08-09,47
2015-08-16,51
2015-08-23,47
2015-08-30,49
2015-09-06,58
2015-09-13,53
2015-09-20,59
2015-09-27,50
2015-10-04,53
2015-10-11,51
2015-10-18,60
2015-10-25,52
2015-11-01,54
2015-11-08,47
2015-11-15,54
2015-11-22,48
2015-11-29,54
2015-12-06,55
2015-12-13,54
2015-12-20,42
2015-12-27,42
2016-01-03,52
2016-01-10,48
2016-01-17,56
2016-01-24,58
2016-01-31,51
2016-02-07,61
2016-02-14,54
2016-02-21,59
2016-02-28,62
2016-03-06,55
2016-03-13,59
2016-03-20,57
2016-03-27,64
2016-04-03,80
2016-04-10,61
2016-04-17,65
2016-04-24,65
2016-05-01,56
2016-05-08,55
2016-05-15,57
2016-05-22,48
2016-05-29,54
2016-06-05,60
2016-06-12,51
2016-06-19,49
2016-06-26,56
2016-07-03,52
2016-07-10,53
2016-07-17,53
2016-07-24,46
2016-07-31,48
2016-08-07,53
2016-08-14,59
2016-08-21,60
2016-08-28,56
2016-09-04,59
2016-09-11,61
2016-09-18,58
2016-09-25,50
2016-10-02,53
2016-10-09,59
2016-10-16,59
2016-10-23,62
2016-10-30,54
2016-11-06,60
2016-11-13,68
2016-11-20,64
2016-11-27,66
2016-12-04,66
2016-12-11,54
2016-12-18,54
2016-12-25,45
2017-01-01,61
2017-01-08,61
2017-01-15,63
2017-01-22,62
2017-01-29,63
2017-02-05,66
2017-02-12,68
2017-02-19,76
2017-02-26,62
2017-03-05,67
2017-03-12,68
2017-03-19,72
2017-03-26,62
2017-04-02,70
2017-04-09,76
2017-04-16,66
2017-04-23,73
2017-04-30,67
2017-05-07,73
2017-05-14,68
2017-05-21,69
2017-05-28,68
2017-06-04,59
2017-06-11,62
2017-06-18,68
2017-06-25,66
2017-07-02,77
2017-07-09,71
2017-07-16,73
2017-07-23,81
2017-07-30,89
2017-08-06,84
2017-08-13,75
2017-08-20,73
2017-08-27,79
2017-09-03,86
2017-09-10,100
2017-09-17,89
2017-09-24,86
2017-10-01,91
2017-10-08,94
2017-10-15,91
2017-10-22,91
2017-10-29,88
2017-11-05,88
2017-11-12,95
2017-11-19,95
