Week,Stocks: (Worldwide)
2013-02-17,44
2013-02-24,45
2013-03-03,53
2013-03-10,45
2013-03-17,46
2013-03-24,41
2013-03-31,42
2013-04-07,44
2013-04-14,39
2013-04-21,43
2013-04-28,41
2013-05-05,44
2013-05-12,38
2013-05-19,41
2013-05-26,36
2013-06-02,34
2013-06-09,37
2013-06-16,35
2013-06-23,40
2013-06-30,30
2013-07-07,36
2013-07-14,38
2013-07-21,37
2013-07-28,38
2013-08-04,37
2013-08-11,39
2013-08-18,36
2013-08-25,38
2013-09-01,34
2013-09-08,39
2013-09-15,54
2013-09-22,60
2013-09-29,55
2013-10-06,50
2013-10-13,51
2013-10-20,52
2013-10-27,49
2013-11-03,51
2013-11-10,47
2013-11-17,52
2013-11-24,41
2013-12-01,46
2013-12-08,45
2013-12-15,46
2013-12-22,44
2013-12-29,55
2014-01-05,61
2014-01-12,56
2014-01-19,55
2014-01-26,56
2014-02-02,54
2014-02-09,52
2014-02-16,57
2014-02-23,58
2014-03-02,58
2014-03-09,55
2014-03-16,54
2014-03-23,49
2014-03-30,52
2014-04-06,51
2014-04-13,45
2014-04-20,46
2014-04-27,46
2014-05-04,45
2014-05-11,45
2014-05-18,42
2014-05-25,37
2014-06-01,41
2014-06-08,41
2014-06-15,36
2014-06-22,38
2014-06-29,35
2014-07-06,39
2014-07-13,40
2014-07-20,41
2014-07-27,39
2014-08-03,39
2014-08-10,35
2014-08-17,40
2014-08-24,40
2014-08-31,38
2014-09-07,45
2014-09-14,50
2014-09-21,45
2014-09-28,44
2014-10-05,43
2014-10-12,51
2014-10-19,47
2014-10-26,48
2014-11-02,49
2014-11-09,47
2014-11-16,48
2014-11-23,43
2014-11-30,50
2014-12-07,51
2014-12-14,60
2014-12-21,45
2014-12-28,50
2015-01-04,54
2015-01-11,51
2015-01-18,49
2015-01-25,54
2015-02-01,55
2015-02-08,52
2015-02-15,51
2015-02-22,54
2015-03-01,51
2015-03-08,48
2015-03-15,50
2015-03-22,47
2015-03-29,45
2015-04-05,48
2015-04-12,50
2015-04-19,48
2015-04-26,46
2015-05-03,44
2015-05-10,42
2015-05-17,46
2015-05-24,37
2015-05-31,40
2015-06-07,38
2015-06-14,37
2015-06-21,41
2015-06-28,41
