Category: All categories

Week,Car in space: (Worldwide)
2018-02-18,100
2018-02-25,67
2018-03-04,61
2018-03-11,75
2018-03-18,56
2018-03-25,57
2018-04-01,57
2018-04-08,49
2018-04-15,62
2018-04-22,51
2018-04-29,46
2018-05-06,47
2018-05-13,49
2018-05-20,44
2018-05-27,35
2018-06-03,45
2018-06-10,37
2018-06-17,44
2018-06-24,39
2018-07-01,41
2018-07-08,40
2018-07-15,49
2018-07-22,41
2018-07-29,37
2018-08-05,40
2018-08-12,49
2018-08-19,39
2018-08-26,44
2018-09-02,41
2018-09-09,39
2018-09-16,45
2018-09-23,47
2018-09-30,38
2018-10-07,40
2018-10-14,39
2018-10-21,39
2018-10-28,41
2018-11-04,39
2018-11-11,46
2018-11-18,33
2018-11-25,46
2018-12-02,40
2018-12-09,44
2018-12-16,36
2018-12-23,46
2018-12-30,34
2019-01-06,44
2019-01-13,41
2019-01-20,38
2019-01-27,42
2019-02-03,42
2019-02-10,40
2019-02-17,75
2019-02-24,44
2019-03-03,57
2019-03-10,41
2019-03-17,35
2019-03-24,44
2019-03-31,41
2019-04-07,43
2019-04-14,38
2019-04-21,41
2019-04-28,79
2019-05-05,42
2019-05-12,39
2019-05-19,38
2019-05-26,41
2019-06-02,37
2019-06-09,37
2019-06-16,38
2019-06-23,39
2019-06-30,34
2019-07-07,37
2019-07-14,42
2019-07-21,38
2019-07-28,33
2019-08-04,37
2019-08-11,39
2019-08-18,41
2019-08-25,42
2019-09-01,42
2019-09-08,42
2019-09-15,48
2019-09-22,41
2019-09-29,45
2019-10-06,37
2019-10-13,37
2019-10-20,36
2019-10-27,40
2019-11-03,33
2019-11-10,36
2019-11-17,41
2019-11-24,40
2019-12-01,40
2019-12-08,39
2019-12-15,43
2019-12-22,44
2019-12-29,43
2020-01-05,38
2020-01-12,38
2020-01-19,44
2020-01-26,44
2020-02-02,45
2020-02-09,43
2020-02-16,48
2020-02-23,47
2020-03-01,43
2020-03-08,36
2020-03-15,29
2020-03-22,23
2020-03-29,33
2020-04-05,30
2020-04-12,34
2020-04-19,40
2020-04-26,36
2020-05-03,43
2020-05-10,40
2020-05-17,38
2020-05-24,73
2020-05-31,62
2020-06-07,51
2020-06-14,47
2020-06-21,40
2020-06-28,41
2020-07-05,39
2020-07-12,42
2020-07-19,40
2020-07-26,42
2020-08-02,38
2020-08-09,37
2020-08-16,46
2020-08-23,49
2020-08-30,41
2020-09-06,45
2020-09-13,50
2020-09-20,47
2020-09-27,53
2020-10-04,53
2020-10-11,49
2020-10-18,46
2020-10-25,43
2020-11-01,46
2020-11-08,43
2020-11-15,54
2020-11-22,39
2020-11-29,43
2020-12-06,51
2020-12-13,39
2020-12-20,38
2020-12-27,38
2021-01-03,39
2021-01-10,45
2021-01-17,45
2021-01-24,50
2021-01-31,43
2021-02-07,56
2021-02-14,58
2021-02-21,57
2021-02-28,52
2021-03-07,49
2021-03-14,54
2021-03-21,47
2021-03-28,40
2021-04-04,39
2021-04-11,44
2021-04-18,37
2021-04-25,54
2021-05-02,45
2021-05-09,50
2021-05-16,44
2021-05-23,46
2021-05-30,37
2021-06-06,44
2021-06-13,49
2021-06-20,43
2021-06-27,49
2021-07-04,44
2021-07-11,51
2021-07-18,54
2021-07-25,47
2021-08-01,48
2021-08-08,42
2021-08-15,44
2021-08-22,44
2021-08-29,44
2021-09-05,45
2021-09-12,49
2021-09-19,47
2021-09-26,45
2021-10-03,45
2021-10-10,50
2021-10-17,49
2021-10-24,50
2021-10-31,46
2021-11-07,44
2021-11-14,38
2021-11-21,39
2021-11-28,42
2021-12-05,50
2021-12-12,43
2021-12-19,41
2021-12-26,41
2022-01-02,54
2022-01-09,53
2022-01-16,52
2022-01-23,55
2022-01-30,57
2022-02-06,73
2022-02-13,62
2022-02-20,66
2022-02-27,65
2022-03-06,66
2022-03-13,67
2022-03-20,61
2022-03-27,62
2022-04-03,64
2022-04-10,54
2022-04-17,64
2022-04-24,64
2022-05-01,58
2022-05-08,58
2022-05-15,54
2022-05-22,51
2022-05-29,51
2022-06-05,51
2022-06-12,52
2022-06-19,51
2022-06-26,50
2022-07-03,44
2022-07-10,81
2022-07-17,47
2022-07-24,46
2022-07-31,46
2022-08-07,44
2022-08-14,47
2022-08-21,43
2022-08-28,50
2022-09-04,49
2022-09-11,49
2022-09-18,59
2022-09-25,55
2022-10-02,49
2022-10-09,54
2022-10-16,56
2022-10-23,51
2022-10-30,57
2022-11-06,57
2022-11-13,60
2022-11-20,44
2022-11-27,53
2022-12-04,49
2022-12-11,51
2022-12-18,44
2022-12-25,38
2023-01-01,46
2023-01-08,49
2023-01-15,52
2023-01-22,54
2023-01-29,60
2023-02-05,59
