Category: All categories

Week,Autodrive: (Worldwide)
2018-02-18,27
2018-02-25,24
2018-03-04,21
2018-03-11,32
2018-03-18,29
2018-03-25,37
2018-04-01,17
2018-04-08,24
2018-04-15,28
2018-04-22,30
2018-04-29,34
2018-05-06,42
2018-05-13,25
2018-05-20,16
2018-05-27,34
2018-06-03,24
2018-06-10,22
2018-06-17,17
2018-06-24,20
2018-07-01,24
2018-07-08,26
2018-07-15,24
2018-07-22,24
2018-07-29,22
2018-08-05,26
2018-08-12,22
2018-08-19,26
2018-08-26,33
2018-09-02,32
2018-09-09,34
2018-09-16,36
2018-09-23,28
2018-09-30,29
2018-10-07,23
2018-10-14,30
2018-10-21,21
2018-10-28,16
2018-11-04,22
2018-11-11,22
2018-11-18,20
2018-11-25,18
2018-12-02,23
2018-12-09,24
2018-12-16,28
2018-12-23,27
2018-12-30,22
2019-01-06,37
2019-01-13,26
2019-01-20,27
2019-01-27,22
2019-02-03,22
2019-02-10,29
2019-02-17,30
2019-02-24,36
2019-03-03,27
2019-03-10,19
2019-03-17,27
2019-03-24,42
2019-03-31,35
2019-04-07,27
2019-04-14,25
2019-04-21,37
2019-04-28,28
2019-05-05,27
2019-05-12,32
2019-05-19,29
2019-05-26,25
2019-06-02,32
2019-06-09,32
2019-06-16,31
2019-06-23,28
2019-06-30,24
2019-07-07,37
2019-07-14,29
2019-07-21,33
2019-07-28,32
2019-08-04,33
2019-08-11,36
2019-08-18,36
2019-08-25,34
2019-09-01,26
2019-09-08,20
2019-09-15,30
2019-09-22,23
2019-09-29,37
2019-10-06,38
2019-10-13,41
2019-10-20,32
2019-10-27,37
2019-11-03,40
2019-11-10,35
2019-11-17,27
2019-11-24,42
2019-12-01,32
2019-12-08,29
2019-12-15,37
2019-12-22,47
2019-12-29,32
2020-01-05,38
2020-01-12,22
2020-01-19,38
2020-01-26,36
2020-02-02,34
2020-02-09,45
2020-02-16,39
2020-02-23,36
2020-03-01,37
2020-03-08,40
2020-03-15,26
2020-03-22,50
2020-03-29,38
2020-04-05,45
2020-04-12,47
2020-04-19,54
2020-04-26,41
2020-05-03,40
2020-05-10,40
2020-05-17,39
2020-05-24,44
2020-05-31,48
2020-06-07,43
2020-06-14,44
2020-06-21,45
2020-06-28,35
2020-07-05,39
2020-07-12,37
2020-07-19,39
2020-07-26,47
2020-08-02,40
2020-08-09,30
2020-08-16,34
2020-08-23,40
2020-08-30,27
2020-09-06,40
2020-09-13,55
2020-09-20,38
2020-09-27,32
2020-10-04,35
2020-10-11,42
2020-10-18,49
2020-10-25,44
2020-11-01,34
2020-11-08,40
2020-11-15,51
2020-11-22,37
2020-11-29,32
2020-12-06,33
2020-12-13,40
2020-12-20,36
2020-12-27,55
2021-01-03,51
2021-01-10,55
2021-01-17,40
2021-01-24,52
2021-01-31,48
2021-02-07,54
2021-02-14,73
2021-02-21,45
2021-02-28,41
2021-03-07,48
2021-03-14,48
2021-03-21,52
2021-03-28,55
2021-04-04,50
2021-04-11,45
2021-04-18,37
2021-04-25,47
2021-05-02,52
2021-05-09,53
2021-05-16,59
2021-05-23,50
2021-05-30,44
2021-06-06,54
2021-06-13,49
2021-06-20,46
2021-06-27,49
2021-07-04,45
2021-07-11,40
2021-07-18,45
2021-07-25,65
2021-08-01,51
2021-08-08,38
2021-08-15,45
2021-08-22,49
2021-08-29,50
2021-09-05,45
2021-09-12,45
2021-09-19,44
2021-09-26,30
2021-10-03,33
2021-10-10,45
2021-10-17,33
2021-10-24,53
2021-10-31,35
2021-11-07,47
2021-11-14,42
2021-11-21,43
2021-11-28,40
2021-12-05,40
2021-12-12,46
2021-12-19,68
2021-12-26,73
2022-01-02,94
2022-01-09,89
2022-01-16,85
2022-01-23,95
2022-01-30,100
2022-02-06,86
2022-02-13,84
2022-02-20,70
2022-02-27,70
2022-03-06,66
2022-03-13,70
2022-03-20,60
2022-03-27,70
2022-04-03,68
2022-04-10,78
2022-04-17,67
2022-04-24,76
2022-05-01,70
2022-05-08,53
2022-05-15,64
2022-05-22,52
2022-05-29,65
2022-06-05,62
2022-06-12,59
2022-06-19,46
2022-06-26,56
2022-07-03,49
2022-07-10,74
2022-07-17,66
2022-07-24,59
2022-07-31,61
2022-08-07,50
2022-08-14,57
2022-08-21,66
2022-08-28,58
2022-09-04,58
2022-09-11,52
2022-09-18,57
2022-09-25,70
2022-10-02,65
2022-10-09,58
2022-10-16,56
2022-10-23,66
2022-10-30,48
2022-11-06,47
2022-11-13,51
2022-11-20,51
2022-11-27,34
2022-12-04,44
2022-12-11,63
2022-12-18,59
2022-12-25,70
2023-01-01,51
2023-01-08,70
2023-01-15,57
2023-01-22,67
2023-01-29,49
2023-02-05,56
