Category: All categories

Week,Starlink: (Worldwide)
2018-02-18,2
2018-02-25,1
2018-03-04,<1
2018-03-11,1
2018-03-18,<1
2018-03-25,1
2018-04-01,1
2018-04-08,<1
2018-04-15,<1
2018-04-22,<1
2018-04-29,<1
2018-05-06,<1
2018-05-13,<1
2018-05-20,<1
2018-05-27,1
2018-06-03,1
2018-06-10,4
2018-06-17,1
2018-06-24,1
2018-07-01,1
2018-07-08,1
2018-07-15,1
2018-07-22,1
2018-07-29,1
2018-08-05,1
2018-08-12,1
2018-08-19,1
2018-08-26,1
2018-09-02,1
2018-09-09,1
2018-09-16,1
2018-09-23,2
2018-09-30,2
2018-10-07,3
2018-10-14,11
2018-10-21,6
2018-10-28,3
2018-11-04,2
2018-11-11,3
2018-11-18,4
2018-11-25,3
2018-12-02,3
2018-12-09,3
2018-12-16,4
2018-12-23,5
2018-12-30,4
2019-01-06,2
2019-01-13,2
2019-01-20,1
2019-01-27,1
2019-02-03,1
2019-02-10,2
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,1
2019-03-17,1
2019-03-24,1
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,2
2019-05-05,1
2019-05-12,6
2019-05-19,8
2019-05-26,12
2019-06-02,3
2019-06-09,2
2019-06-16,2
2019-06-23,2
2019-06-30,2
2019-07-07,2
2019-07-14,2
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,2
2019-09-08,1
2019-09-15,1
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,2
2019-10-20,3
2019-10-27,2
2019-11-03,2
2019-11-10,6
2019-11-17,3
2019-11-24,2
2019-12-01,3
2019-12-08,2
2019-12-15,2
2019-12-22,5
2019-12-29,5
2020-01-05,7
2020-01-12,4
2020-01-19,5
2020-01-26,7
2020-02-02,5
2020-02-09,3
2020-02-16,6
2020-02-23,4
2020-03-01,3
2020-03-08,3
2020-03-15,4
2020-03-22,4
2020-03-29,8
2020-04-05,7
2020-04-12,10
2020-04-19,100
2020-04-26,40
2020-05-03,15
2020-05-10,14
2020-05-17,8
2020-05-24,8
2020-05-31,14
2020-06-07,11
2020-06-14,12
2020-06-21,12
2020-06-28,7
2020-07-05,7
2020-07-12,9
2020-07-19,6
2020-07-26,6
2020-08-02,8
2020-08-09,9
2020-08-16,9
2020-08-23,7
2020-08-30,8
2020-09-06,5
2020-09-13,5
2020-09-20,4
2020-09-27,5
2020-10-04,5
2020-10-11,4
2020-10-18,7
2020-10-25,9
2020-11-01,8
2020-11-08,6
2020-11-15,7
2020-11-22,7
2020-11-29,6
2020-12-06,7
2020-12-13,6
2020-12-20,5
2020-12-27,5
2021-01-03,5
2021-01-10,7
2021-01-17,8
2021-01-24,10
2021-01-31,13
2021-02-07,36
2021-02-14,17
2021-02-21,16
2021-02-28,15
2021-03-07,11
2021-03-14,11
2021-03-21,10
2021-03-28,9
2021-04-04,10
2021-04-11,10
2021-04-18,9
2021-04-25,9
2021-05-02,29
2021-05-09,25
2021-05-16,14
2021-05-23,16
2021-05-30,11
2021-06-06,8
2021-06-13,8
2021-06-20,9
2021-06-27,10
2021-07-04,8
2021-07-11,7
2021-07-18,8
2021-07-25,8
2021-08-01,9
2021-08-08,9
2021-08-15,7
2021-08-22,9
2021-08-29,7
2021-09-05,7
2021-09-12,7
2021-09-19,6
2021-09-26,6
2021-10-03,7
2021-10-10,7
2021-10-17,6
2021-10-24,7
2021-10-31,8
2021-11-07,8
2021-11-14,8
2021-11-21,9
2021-11-28,12
2021-12-05,12
2021-12-12,7
2021-12-19,9
2021-12-26,10
2022-01-02,14
2022-01-09,10
2022-01-16,11
2022-01-23,11
2022-01-30,11
2022-02-06,13
2022-02-13,9
2022-02-20,16
2022-02-27,72
2022-03-06,20
2022-03-13,18
2022-03-20,16
2022-03-27,12
2022-04-03,12
2022-04-10,13
2022-04-17,17
2022-04-24,16
2022-05-01,16
2022-05-08,16
2022-05-15,18
2022-05-22,19
2022-05-29,15
2022-06-05,12
2022-06-12,12
2022-06-19,11
2022-06-26,12
2022-07-03,12
2022-07-10,10
2022-07-17,15
2022-07-24,21
2022-07-31,13
2022-08-07,12
2022-08-14,16
2022-08-21,36
2022-08-28,20
2022-09-04,17
2022-09-11,20
2022-09-18,32
2022-09-25,28
2022-10-02,18
2022-10-09,21
2022-10-16,20
2022-10-23,17
2022-10-30,17
2022-11-06,15
2022-11-13,15
2022-11-20,15
2022-11-27,16
2022-12-04,13
2022-12-11,11
2022-12-18,12
2022-12-25,15
2023-01-01,13
2023-01-08,14
2023-01-15,12
2023-01-22,12
2023-01-29,21
2023-02-05,24
