Category: All categories

Week,Tesla: (Worldwide)
2018-02-18,26
2018-02-25,24
2018-03-04,24
2018-03-11,23
2018-03-18,23
2018-03-25,30
2018-04-01,30
2018-04-08,23
2018-04-15,25
2018-04-22,23
2018-04-29,28
2018-05-06,24
2018-05-13,26
2018-05-20,25
2018-05-27,24
2018-06-03,24
2018-06-10,24
2018-06-17,25
2018-06-24,24
2018-07-01,26
2018-07-08,27
2018-07-15,24
2018-07-22,25
2018-07-29,30
2018-08-05,34
2018-08-12,29
2018-08-19,27
2018-08-26,27
2018-09-02,31
2018-09-09,32
2018-09-16,26
2018-09-23,32
2018-09-30,34
2018-10-07,28
2018-10-14,28
2018-10-21,32
2018-10-28,27
2018-11-04,25
2018-11-11,25
2018-11-18,23
2018-11-25,24
2018-12-02,26
2018-12-09,25
2018-12-16,30
2018-12-23,28
2018-12-30,27
2019-01-06,28
2019-01-13,27
2019-01-20,24
2019-01-27,26
2019-02-03,25
2019-02-10,24
2019-02-17,26
2019-02-24,35
2019-03-03,36
2019-03-10,39
2019-03-17,34
2019-03-24,29
2019-03-31,30
2019-04-07,29
2019-04-14,29
2019-04-21,40
2019-04-28,33
2019-05-05,34
2019-05-12,32
2019-05-19,34
2019-05-26,32
2019-06-02,34
2019-06-09,31
2019-06-16,30
2019-06-23,30
2019-06-30,31
2019-07-07,31
2019-07-14,32
2019-07-21,36
2019-07-28,28
2019-08-04,29
2019-08-11,30
2019-08-18,31
2019-08-25,28
2019-09-01,29
2019-09-08,30
2019-09-15,32
2019-09-22,31
2019-09-29,32
2019-10-06,32
2019-10-13,30
2019-10-20,35
2019-10-27,31
2019-11-03,30
2019-11-10,34
2019-11-17,100
2019-11-24,98
2019-12-01,46
2019-12-08,38
2019-12-15,39
2019-12-22,44
2019-12-29,40
2020-01-05,39
2020-01-12,40
2020-01-19,41
2020-01-26,43
2020-02-02,70
2020-02-09,43
2020-02-16,46
2020-02-23,45
2020-03-01,40
2020-03-08,40
2020-03-15,39
2020-03-22,31
2020-03-29,28
2020-04-05,27
2020-04-12,30
2020-04-19,28
2020-04-26,36
2020-05-03,35
2020-05-10,35
2020-05-17,31
2020-05-24,35
2020-05-31,35
2020-06-07,42
2020-06-14,36
2020-06-21,36
2020-06-28,43
2020-07-05,51
2020-07-12,55
2020-07-19,61
2020-07-26,43
2020-08-02,39
2020-08-09,45
2020-08-16,56
2020-08-23,55
2020-08-30,77
2020-09-06,67
2020-09-13,56
2020-09-20,72
2020-09-27,51
2020-10-04,43
2020-10-11,45
2020-10-18,45
2020-10-25,37
2020-11-01,34
2020-11-08,38
2020-11-15,49
2020-11-22,48
2020-11-29,47
2020-12-06,50
2020-12-13,48
2020-12-20,49
2020-12-27,50
2021-01-03,72
2021-01-10,74
2021-01-17,54
2021-01-24,67
2021-01-31,57
2021-02-07,57
2021-02-14,52
2021-02-21,64
2021-02-28,58
2021-03-07,61
2021-03-14,51
2021-03-21,49
2021-03-28,47
2021-04-04,46
2021-04-11,49
2021-04-18,51
2021-04-25,49
2021-05-02,44
2021-05-09,53
2021-05-16,54
2021-05-23,44
2021-05-30,44
2021-06-06,45
2021-06-13,43
2021-06-20,42
2021-06-27,42
2021-07-04,43
2021-07-11,44
2021-07-18,43
2021-07-25,45
2021-08-01,41
2021-08-08,41
2021-08-15,48
2021-08-22,46
2021-08-29,41
2021-09-05,40
2021-09-12,39
2021-09-19,40
2021-09-26,42
2021-10-03,42
2021-10-10,43
2021-10-17,50
2021-10-24,65
2021-10-31,62
2021-11-07,64
2021-11-14,55
2021-11-21,49
2021-11-28,47
2021-12-05,48
2021-12-12,49
2021-12-19,50
2021-12-26,51
2022-01-02,54
2022-01-09,49
2022-01-16,45
2022-01-23,54
2022-01-30,49
2022-02-06,46
2022-02-13,46
2022-02-20,44
2022-02-27,47
2022-03-06,56
2022-03-13,52
2022-03-20,56
2022-03-27,55
2022-04-03,55
2022-04-10,52
2022-04-17,55
2022-04-24,63
2022-05-01,52
2022-05-08,53
2022-05-15,51
2022-05-22,51
2022-05-29,49
2022-06-05,50
2022-06-12,55
2022-06-19,51
2022-06-26,47
2022-07-03,44
2022-07-10,42
2022-07-17,46
2022-07-24,44
2022-07-31,45
2022-08-07,46
2022-08-14,43
2022-08-21,50
2022-08-28,41
2022-09-04,40
2022-09-11,40
2022-09-18,41
2022-09-25,41
2022-10-02,43
2022-10-09,40
2022-10-16,42
2022-10-23,41
2022-10-30,40
2022-11-06,43
2022-11-13,41
2022-11-20,36
2022-11-27,38
2022-12-04,38
2022-12-11,44
2022-12-18,50
2022-12-25,57
2023-01-01,58
2023-01-08,60
2023-01-15,56
2023-01-22,57
2023-01-29,55
2023-02-05,51
