Category: All categories

Week,Layoffs: (Worldwide)
2018-02-18,9
2018-02-25,8
2018-03-04,9
2018-03-11,8
2018-03-18,8
2018-03-25,8
2018-04-01,7
2018-04-08,7
2018-04-15,8
2018-04-22,7
2018-04-29,7
2018-05-06,7
2018-05-13,7
2018-05-20,6
2018-05-27,7
2018-06-03,6
2018-06-10,8
2018-06-17,8
2018-06-24,9
2018-07-01,5
2018-07-08,6
2018-07-15,6
2018-07-22,9
2018-07-29,7
2018-08-05,7
2018-08-12,6
2018-08-19,6
2018-08-26,6
2018-09-02,6
2018-09-09,6
2018-09-16,8
2018-09-23,8
2018-09-30,8
2018-10-07,11
2018-10-14,9
2018-10-21,9
2018-10-28,10
2018-11-04,9
2018-11-11,9
2018-11-18,6
2018-11-25,19
2018-12-02,11
2018-12-09,9
2018-12-16,7
2018-12-23,5
2018-12-30,7
2019-01-06,12
2019-01-13,14
2019-01-20,16
2019-01-27,18
2019-02-03,16
2019-02-10,14
2019-02-17,11
2019-02-24,10
2019-03-03,10
2019-03-10,10
2019-03-17,10
2019-03-24,11
2019-03-31,10
2019-04-07,9
2019-04-14,8
2019-04-21,9
2019-04-28,9
2019-05-05,11
2019-05-12,9
2019-05-19,11
2019-05-26,9
2019-06-02,9
2019-06-09,8
2019-06-16,8
2019-06-23,10
2019-06-30,6
2019-07-07,8
2019-07-14,8
2019-07-21,8
2019-07-28,14
2019-08-04,9
2019-08-11,8
2019-08-18,10
2019-08-25,8
2019-09-01,8
2019-09-08,12
2019-09-15,10
2019-09-22,9
2019-09-29,14
2019-10-06,11
2019-10-13,10
2019-10-20,13
2019-10-27,10
2019-11-03,11
2019-11-10,10
2019-11-17,11
2019-11-24,6
2019-12-01,12
2019-12-08,10
2019-12-15,8
2019-12-22,5
2019-12-29,6
2020-01-05,11
2020-01-12,15
2020-01-19,11
2020-01-26,12
2020-02-02,12
2020-02-09,13
2020-02-16,12
2020-02-23,14
2020-03-01,11
2020-03-08,16
2020-03-15,30
2020-03-22,30
2020-03-29,41
2020-04-05,36
2020-04-12,33
2020-04-19,29
2020-04-26,29
2020-05-03,35
2020-05-10,26
2020-05-17,28
2020-05-24,27
2020-05-31,21
2020-06-07,20
2020-06-14,23
2020-06-21,23
2020-06-28,20
2020-07-05,19
2020-07-12,20
2020-07-19,23
2020-07-26,22
2020-08-02,20
2020-08-09,19
2020-08-16,15
2020-08-23,22
2020-08-30,18
2020-09-06,13
2020-09-13,17
2020-09-20,14
2020-09-27,26
2020-10-04,18
2020-10-11,12
2020-10-18,11
2020-10-25,16
2020-11-01,14
2020-11-08,12
2020-11-15,10
2020-11-22,8
2020-11-29,10
2020-12-06,9
2020-12-13,7
2020-12-20,6
2020-12-27,5
2021-01-03,6
2021-01-10,8
2021-01-17,8
2021-01-24,10
2021-01-31,12
2021-02-07,10
2021-02-14,6
2021-02-21,7
2021-02-28,7
2021-03-07,6
2021-03-14,5
2021-03-21,5
2021-03-28,5
2021-04-04,5
2021-04-11,5
2021-04-18,5
2021-04-25,5
2021-05-02,5
2021-05-09,5
2021-05-16,4
2021-05-23,4
2021-05-30,4
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,5
2021-07-04,4
2021-07-11,4
2021-07-18,5
2021-07-25,4
2021-08-01,4
2021-08-08,4
2021-08-15,4
2021-08-22,4
2021-08-29,4
2021-09-05,4
2021-09-12,4
2021-09-19,4
2021-09-26,4
2021-10-03,4
2021-10-10,4
2021-10-17,4
2021-10-24,5
2021-10-31,5
2021-11-07,4
2021-11-14,5
2021-11-21,3
2021-11-28,6
2021-12-05,16
2021-12-12,5
2021-12-19,4
2021-12-26,3
2022-01-02,4
2022-01-09,4
2022-01-16,5
2022-01-23,4
2022-01-30,4
2022-02-06,7
2022-02-13,4
2022-02-20,3
2022-02-27,4
2022-03-06,6
2022-03-13,4
2022-03-20,4
2022-03-27,5
2022-04-03,6
2022-04-10,4
2022-04-17,5
2022-04-24,11
2022-05-01,9
2022-05-08,16
2022-05-15,15
2022-05-22,13
2022-05-29,10
2022-06-05,11
2022-06-12,21
2022-06-19,15
2022-06-26,13
2022-07-03,12
2022-07-10,15
2022-07-17,16
2022-07-24,16
2022-07-31,27
2022-08-07,19
2022-08-14,16
2022-08-21,15
2022-08-28,13
2022-09-04,9
2022-09-11,15
2022-09-18,13
2022-09-25,12
2022-10-02,13
2022-10-09,19
2022-10-16,17
2022-10-23,17
2022-10-30,47
2022-11-06,97
2022-11-13,82
2022-11-20,27
2022-11-27,31
2022-12-04,29
2022-12-11,22
2022-12-18,13
2022-12-25,9
2023-01-01,38
2023-01-08,42
2023-01-15,100
2023-01-22,80
2023-01-29,55
2023-02-05,49
