Category: All categories

Week,Samsung fire: (Canada)
2018-02-11,50
2018-02-18,37
2018-02-25,0
2018-03-04,62
2018-03-11,19
2018-03-18,15
2018-03-25,11
2018-04-01,0
2018-04-08,25
2018-04-15,23
2018-04-22,27
2018-04-29,35
2018-05-06,13
2018-05-13,0
2018-05-20,31
2018-05-27,0
2018-06-03,35
2018-06-10,14
2018-06-17,31
2018-06-24,0
2018-07-01,27
2018-07-08,0
2018-07-15,0
2018-07-22,27
2018-07-29,34
2018-08-05,27
2018-08-12,30
2018-08-19,23
2018-08-26,31
2018-09-02,31
2018-09-09,29
2018-09-16,34
2018-09-23,19
2018-09-30,20
2018-10-07,18
2018-10-14,0
2018-10-21,21
2018-10-28,18
2018-11-04,27
2018-11-11,0
2018-11-18,87
2018-11-25,47
2018-12-02,29
2018-12-09,9
2018-12-16,31
2018-12-23,60
2018-12-30,37
2019-01-06,21
2019-01-13,0
2019-01-20,45
2019-01-27,11
2019-02-03,25
2019-02-10,0
2019-02-17,54
2019-02-24,29
2019-03-03,25
2019-03-10,34
2019-03-17,29
2019-03-24,42
2019-03-31,33
2019-04-07,38
2019-04-14,55
2019-04-21,64
2019-04-28,11
2019-05-05,37
2019-05-12,26
2019-05-19,12
2019-05-26,56
2019-06-02,25
2019-06-09,19
2019-06-16,27
2019-06-23,33
2019-06-30,0
2019-07-07,22
2019-07-14,36
2019-07-21,37
2019-07-28,30
2019-08-04,48
2019-08-11,35
2019-08-18,56
2019-08-25,0
2019-09-01,51
2019-09-08,29
2019-09-15,20
2019-09-22,28
2019-09-29,40
2019-10-06,30
2019-10-13,59
2019-10-20,21
2019-10-27,26
2019-11-03,24
2019-11-10,59
2019-11-17,81
2019-11-24,95
2019-12-01,83
2019-12-08,57
2019-12-15,41
2019-12-22,76
2019-12-29,21
2020-01-05,60
2020-01-12,29
2020-01-19,39
2020-01-26,0
2020-02-02,27
2020-02-09,33
2020-02-16,30
2020-02-23,21
2020-03-01,0
2020-03-08,22
2020-03-15,40
2020-03-22,27
2020-03-29,38
2020-04-05,35
2020-04-12,30
2020-04-19,41
2020-04-26,37
2020-05-03,54
2020-05-10,35
2020-05-17,28
2020-05-24,34
2020-05-31,8
2020-06-07,34
2020-06-14,28
2020-06-21,35
2020-06-28,45
2020-07-05,47
2020-07-12,17
2020-07-19,52
2020-07-26,16
2020-08-02,46
2020-08-09,31
2020-08-16,57
2020-08-23,28
2020-08-30,24
2020-09-06,20
2020-09-13,23
2020-09-20,0
2020-09-27,32
2020-10-04,28
2020-10-11,35
2020-10-18,15
2020-10-25,16
2020-11-01,19
2020-11-08,36
2020-11-15,58
2020-11-22,100
2020-11-29,97
2020-12-06,10
2020-12-13,63
2020-12-20,25
2020-12-27,20
2021-01-03,42
2021-01-10,17
2021-01-17,37
2021-01-24,42
2021-01-31,27
2021-02-07,45
2021-02-14,14
2021-02-21,27
2021-02-28,27
2021-03-07,25
2021-03-14,0
2021-03-21,32
2021-03-28,28
2021-04-04,28
2021-04-11,25
2021-04-18,0
2021-04-25,11
2021-05-02,25
2021-05-09,0
2021-05-16,30
2021-05-23,13
2021-05-30,17
2021-06-06,0
2021-06-13,19
2021-06-20,33
2021-06-27,12
2021-07-04,35
2021-07-11,72
2021-07-18,22
2021-07-25,44
2021-08-01,35
2021-08-08,50
2021-08-15,39
2021-08-22,34
2021-08-29,26
2021-09-05,12
2021-09-12,60
2021-09-19,27
2021-09-26,34
2021-10-03,0
2021-10-10,26
2021-10-17,21
2021-10-24,21
2021-10-31,43
2021-11-07,35
2021-11-14,44
2021-11-21,59
2021-11-28,32
2021-12-05,18
2021-12-12,0
2021-12-19,38
2021-12-26,54
2022-01-02,30
2022-01-09,71
2022-01-16,41
2022-01-23,18
2022-01-30,32
2022-02-06,64
2022-02-13,18
2022-02-20,40
2022-02-27,40
2022-03-06,27
2022-03-13,46
2022-03-20,29
2022-03-27,22
2022-04-03,29
2022-04-10,26
2022-04-17,34
2022-04-24,18
2022-05-01,29
2022-05-08,37
2022-05-15,26
2022-05-22,40
2022-05-29,33
2022-06-05,39
2022-06-12,15
2022-06-19,0
2022-06-26,22
2022-07-03,30
2022-07-10,80
2022-07-17,18
2022-07-24,25
2022-07-31,23
2022-08-07,19
2022-08-14,54
2022-08-21,40
2022-08-28,38
2022-09-04,50
2022-09-11,38
2022-09-18,25
2022-09-25,32
2022-10-02,31
2022-10-09,28
2022-10-16,18
2022-10-23,18
2022-10-30,32
2022-11-06,41
2022-11-13,46
2022-11-20,64
2022-11-27,46
2022-12-04,38
2022-12-11,56
2022-12-18,45
2022-12-25,93
2023-01-01,42
2023-01-08,25
2023-01-15,47
2023-01-22,35
2023-01-29,49
