Category: All categories

Week,iPhone: (Worldwide)
2018-02-11,56
2018-02-18,57
2018-02-25,57
2018-03-04,57
2018-03-11,55
2018-03-18,54
2018-03-25,54
2018-04-01,55
2018-04-08,52
2018-04-15,51
2018-04-22,53
2018-04-29,51
2018-05-06,50
2018-05-13,53
2018-05-20,54
2018-05-27,53
2018-06-03,54
2018-06-10,51
2018-06-17,53
2018-06-24,53
2018-07-01,53
2018-07-08,55
2018-07-15,55
2018-07-22,57
2018-07-29,56
2018-08-05,55
2018-08-12,55
2018-08-19,53
2018-08-26,54
2018-09-02,54
2018-09-09,89
2018-09-16,76
2018-09-23,67
2018-09-30,60
2018-10-07,58
2018-10-14,58
2018-10-21,61
2018-10-28,57
2018-11-04,59
2018-11-11,60
2018-11-18,62
2018-11-25,62
2018-12-02,58
2018-12-09,57
2018-12-16,59
2018-12-23,70
2018-12-30,59
2019-01-06,56
2019-01-13,54
2019-01-20,52
2019-01-27,53
2019-02-03,49
2019-02-10,48
2019-02-17,50
2019-02-24,49
2019-03-03,48
2019-03-10,48
2019-03-17,51
2019-03-24,49
2019-03-31,47
2019-04-07,48
2019-04-14,46
2019-04-21,46
2019-04-28,47
2019-05-05,48
2019-05-12,47
2019-05-19,47
2019-05-26,48
2019-06-02,49
2019-06-09,48
2019-06-16,47
2019-06-23,48
2019-06-30,49
2019-07-07,49
2019-07-14,50
2019-07-21,52
2019-07-28,50
2019-08-04,51
2019-08-11,51
2019-08-18,51
2019-08-25,48
2019-09-01,52
2019-09-08,100
2019-09-15,80
2019-09-22,77
2019-09-29,68
2019-10-06,66
2019-10-13,64
2019-10-20,61
2019-10-27,60
2019-11-03,58
2019-11-10,57
2019-11-17,60
2019-11-24,66
2019-12-01,64
2019-12-08,58
2019-12-15,61
2019-12-22,70
2019-12-29,65
2020-01-05,60
2020-01-12,56
2020-01-19,54
2020-01-26,50
2020-02-02,50
2020-02-09,51
2020-02-16,54
2020-02-23,56
2020-03-01,51
2020-03-08,47
2020-03-15,46
2020-03-22,45
2020-03-29,48
2020-04-05,51
2020-04-12,60
2020-04-19,57
2020-04-26,56
2020-05-03,56
2020-05-10,58
2020-05-17,58
2020-05-24,57
2020-05-31,55
2020-06-07,56
2020-06-14,53
2020-06-21,57
2020-06-28,58
2020-07-05,55
2020-07-12,55
2020-07-19,57
2020-07-26,57
2020-08-02,54
2020-08-09,55
2020-08-16,55
2020-08-23,55
2020-08-30,54
2020-09-06,53
2020-09-13,61
2020-09-20,65
2020-09-27,55
2020-10-04,53
2020-10-11,94
2020-10-18,73
2020-10-25,64
2020-11-01,61
2020-11-08,68
2020-11-15,69
2020-11-22,68
2020-11-29,64
2020-12-06,62
2020-12-13,61
2020-12-20,65
2020-12-27,65
2021-01-03,59
2021-01-10,56
2021-01-17,52
2021-01-24,53
2021-01-31,50
2021-02-07,50
2021-02-14,51
2021-02-21,52
2021-02-28,49
2021-03-07,48
2021-03-14,49
2021-03-21,49
2021-03-28,50
2021-04-04,49
2021-04-11,47
2021-04-18,50
2021-04-25,48
2021-05-02,50
2021-05-09,48
2021-05-16,47
2021-05-23,49
2021-05-30,50
2021-06-06,48
2021-06-13,51
2021-06-20,47
2021-06-27,48
2021-07-04,51
2021-07-11,51
2021-07-18,53
2021-07-25,52
2021-08-01,52
2021-08-08,50
2021-08-15,55
2021-08-22,53
2021-08-29,55
2021-09-05,54
2021-09-12,85
2021-09-19,76
2021-09-26,67
2021-10-03,65
2021-10-10,61
2021-10-17,58
2021-10-24,55
2021-10-31,58
2021-11-07,58
2021-11-14,56
2021-11-21,65
2021-11-28,58
2021-12-05,60
2021-12-12,64
2021-12-19,65
2021-12-26,67
2022-01-02,63
2022-01-09,60
2022-01-16,54
2022-01-23,57
2022-01-30,59
2022-02-06,55
2022-02-13,54
2022-02-20,55
2022-02-27,56
2022-03-06,58
2022-03-13,58
2022-03-20,55
2022-03-27,55
2022-04-03,53
2022-04-10,55
2022-04-17,55
2022-04-24,53
2022-05-01,54
2022-05-08,53
2022-05-15,54
2022-05-22,54
2022-05-29,52
2022-06-05,59
2022-06-12,56
2022-06-19,57
2022-06-26,58
2022-07-03,56
2022-07-10,59
2022-07-17,59
2022-07-24,57
2022-07-31,60
2022-08-07,60
2022-08-14,63
2022-08-21,58
2022-08-28,58
2022-09-04,95
2022-09-11,84
2022-09-18,77
2022-09-25,72
2022-10-02,64
2022-10-09,64
2022-10-16,58
2022-10-23,60
2022-10-30,59
2022-11-06,60
2022-11-13,62
2022-11-20,62
2022-11-27,58
2022-12-04,57
2022-12-11,58
2022-12-18,64
2022-12-25,71
2023-01-01,65
2023-01-08,60
2023-01-15,60
2023-01-22,59
2023-01-29,59
