Category: All categories

Week,new iPhone: (Canada)
2018-02-11,12
2018-02-18,11
2018-02-25,13
2018-03-04,13
2018-03-11,14
2018-03-18,17
2018-03-25,15
2018-04-01,13
2018-04-08,15
2018-04-15,12
2018-04-22,11
2018-04-29,13
2018-05-06,12
2018-05-13,14
2018-05-20,11
2018-05-27,14
2018-06-03,13
2018-06-10,16
2018-06-17,18
2018-06-24,15
2018-07-01,16
2018-07-08,15
2018-07-15,17
2018-07-22,18
2018-07-29,18
2018-08-05,21
2018-08-12,23
2018-08-19,23
2018-08-26,29
2018-09-02,35
2018-09-09,100
2018-09-16,33
2018-09-23,25
2018-09-30,20
2018-10-07,15
2018-10-14,16
2018-10-21,17
2018-10-28,17
2018-11-04,15
2018-11-11,13
2018-11-18,18
2018-11-25,19
2018-12-02,14
2018-12-09,14
2018-12-16,13
2018-12-23,27
2018-12-30,23
2019-01-06,15
2019-01-13,12
2019-01-20,15
2019-01-27,11
2019-02-03,12
2019-02-10,12
2019-02-17,14
2019-02-24,12
2019-03-03,14
2019-03-10,14
2019-03-17,12
2019-03-24,14
2019-03-31,13
2019-04-07,12
2019-04-14,10
2019-04-21,10
2019-04-28,12
2019-05-05,13
2019-05-12,14
2019-05-19,13
2019-05-26,11
2019-06-02,16
2019-06-09,13
2019-06-16,15
2019-06-23,14
2019-06-30,16
2019-07-07,16
2019-07-14,17
2019-07-21,17
2019-07-28,16
2019-08-04,18
2019-08-11,22
2019-08-18,24
2019-08-25,25
2019-09-01,30
2019-09-08,66
2019-09-15,23
2019-09-22,24
2019-09-29,19
2019-10-06,20
2019-10-13,17
2019-10-20,16
2019-10-27,15
2019-11-03,17
2019-11-10,15
2019-11-17,15
2019-11-24,21
2019-12-01,19
2019-12-08,16
2019-12-15,17
2019-12-22,26
2019-12-29,26
2020-01-05,17
2020-01-12,14
2020-01-19,14
2020-01-26,14
2020-02-02,15
2020-02-09,14
2020-02-16,13
2020-02-23,11
2020-03-01,12
2020-03-08,12
2020-03-15,12
2020-03-22,9
2020-03-29,10
2020-04-05,9
2020-04-12,28
2020-04-19,18
2020-04-26,17
2020-05-03,13
2020-05-10,16
2020-05-17,15
2020-05-24,13
2020-05-31,14
2020-06-07,14
2020-06-14,16
2020-06-21,19
2020-06-28,18
2020-07-05,20
2020-07-12,17
2020-07-19,19
2020-07-26,18
2020-08-02,19
2020-08-09,18
2020-08-16,22
2020-08-23,22
2020-08-30,25
2020-09-06,26
2020-09-13,32
2020-09-20,28
2020-09-27,24
2020-10-04,21
2020-10-11,35
2020-10-18,21
2020-10-25,19
2020-11-01,17
2020-11-08,19
2020-11-15,20
2020-11-22,23
2020-11-29,20
2020-12-06,18
2020-12-13,18
2020-12-20,22
2020-12-27,25
2021-01-03,16
2021-01-10,18
2021-01-17,12
2021-01-24,13
2021-01-31,12
2021-02-07,13
2021-02-14,13
2021-02-21,13
2021-02-28,12
2021-03-07,12
2021-03-14,12
2021-03-21,11
2021-03-28,12
2021-04-04,12
2021-04-11,11
2021-04-18,13
2021-04-25,12
2021-05-02,12
2021-05-09,9
2021-05-16,13
2021-05-23,12
2021-05-30,11
2021-06-06,15
2021-06-13,14
2021-06-20,13
2021-06-27,14
2021-07-04,12
2021-07-11,15
2021-07-18,13
2021-07-25,13
2021-08-01,15
2021-08-08,16
2021-08-15,17
2021-08-22,18
2021-08-29,20
2021-09-05,22
2021-09-12,30
2021-09-19,21
2021-09-26,17
2021-10-03,15
2021-10-10,13
2021-10-17,15
2021-10-24,14
2021-10-31,15
2021-11-07,14
2021-11-14,16
2021-11-21,15
2021-11-28,18
2021-12-05,16
2021-12-12,14
2021-12-19,17
2021-12-26,27
2022-01-02,20
2022-01-09,15
2022-01-16,13
2022-01-23,11
2022-01-30,12
2022-02-06,13
2022-02-13,12
2022-02-20,12
2022-02-27,11
2022-03-06,18
2022-03-13,16
2022-03-20,14
2022-03-27,12
2022-04-03,12
2022-04-10,14
2022-04-17,13
2022-04-24,13
2022-05-01,12
2022-05-08,12
2022-05-15,12
2022-05-22,11
2022-05-29,13
2022-06-05,15
2022-06-12,14
2022-06-19,16
2022-06-26,14
2022-07-03,15
2022-07-10,16
2022-07-17,14
2022-07-24,15
2022-07-31,16
2022-08-07,19
2022-08-14,19
2022-08-21,16
2022-08-28,19
2022-09-04,34
2022-09-11,23
2022-09-18,20
2022-09-25,16
2022-10-02,15
2022-10-09,15
2022-10-16,14
2022-10-23,14
2022-10-30,12
2022-11-06,12
2022-11-13,17
2022-11-20,17
2022-11-27,21
2022-12-04,15
2022-12-11,15
2022-12-18,16
2022-12-25,27
2023-01-01,21
2023-01-08,16
2023-01-15,13
2023-01-22,15
2023-01-29,12
